sentiment,content,sentiment_type
2,future quotthe power herequot paired augmented reality contextual reality,positive
3,freaking everyone ipad iphone mac wow,no sentiment
2,last day come last day iphone makery,positive
2,tomorrows panel panel features folks opera chrome ie mozilla w3c apple downstairs selling ipads ahem,positive
3,second day business apple popup store appears trending apple store sxsw pic link,no sentiment
2,go program link speak want learn,positive
2,attended hear criticism google ways us improve even im duty sounds like yr panel rocked,positive
2,cool hoot hootsuite updates link,positive
2,set open popup shop core action link via,positive
3,wowwwwww next google maps amazing,no sentiment
2,another iphone related dream invented app dispenses chilicheese waffle fries,positive
1,brought google maps rerouted images jcpenney images macys trashy restraunts comment,negative
3,using ipad set list band,no sentiment
3,hey lucky dogs ipads check holler gram app link,no sentiment
2,mission download app checkin amp start playing redeem prizes austin hot spots link,positive
3,haha rt havent waited line apple product youre missing important rite passage,no sentiment
3,even begins wins link,no sentiment
3,texas observer tomlinson says would double revenue per issue ipad subscriptions,no sentiment
3,rt apple opening temporary store downtown austin ipad launch link,no sentiment
2,rt marissa mayer connect digital amp physical worlds link,positive
2,spotted three ipad first minutes lots ipad youd think macworld,positive
2,said wont able get ipad apple opening popu cont link,positive
2,q2 u think googles check offers testing link,positive
3,apple knows game theyre bring ipad2 people link,no sentiment
3,awesome ipad jailbreak link grateful dead,no sentiment
2,i41 slap face link codes valid 00115959a 1511,positive
2,presentation zinio online link,positive
2,th ave austin lines link,positive
1,anyone else issues gmail using google services,negative
2,apple opening pop store downtown austin ipad launch link,positive
2,made time podcast strange iphone corrects quotnostalgicquot,positive
3,timely rt bings search engine share continues rise google still tops link,no sentiment
1,quotapple elegant fascist company americaquot,negative
2,almost link,positive
3,great panel wguys fr amp google hotpot social recs def end recs,no sentiment
2,wiebe walking conceptual graphing link youd loving,positive
2,download iphone reserve space go toxswmyturnstonecom,positive
2,ipad gb giveaway follow retweet message entered,positive
3,google maps useful get better,no sentiment
3,haha rt many dont use apple cause one uses windows voluntarily,no sentiment
3,apple smart ipad takes video link,no sentiment
2,internet tv coming google tv dvrs xbox train isnt stopping barry diller,positive
3,quotwill take time others catch ipadquot,no sentiment
2,friends whats going today share photos video link cnn iphone app,positive
3,ever doubt influence apple innovation community look ipads iphone4s everywhere,no sentiment
3,gadget lust rubbing think want ipad must escape soon,no sentiment
2,xwave headsets actually control iphone apps brain,positive
2,scenes austin sxsw ipad popup shop arriving link,positive
0,thanks publishing news new medical apps conf blog link,cannot say
2,iphone app sync functionality working yet,positive
2,picked ipad back link cha think worth upgrade,positive
3,excited tomorrow leaving austin see googles 30pm still working schedule,no sentiment
1,iphone know week tough alreadydwindling battery help jeebus keep correcting curse words,negative
2,google might launch circles today link,positive
2,get look rumored quotupquot store austin link,positive
2,anyone picture pop store austin wanna see,positive
3,loving new iphone w channel,no sentiment
2,iphone android 80,positive
3,first send us pic get free download game,no sentiment
2,google presentations trade show busy trade show nice side time link,positive
2,apple two austinarea retail locations anticipation gadget link,positive
3,todays tech tidbit ipad takes sxsw video link via,no sentiment
3,yes nailed google circles allow online communication respect boundaries offline social lives,no sentiment
3,need get ipad apple opening temp store downtown austin ipad launch via,no sentiment
3,sweet danfung dennis demoing immersive video rig ipad platform used hell back party,no sentiment
2,th year downloading music torrent link free legal great music,positive
2,google close launching new social network circles link,positive
2,note next year skinny tie skinny jeans wayfarers amp ipad must accessories,positive
3,google maps even cooler thought,no sentiment
3,believe almost always use google maps iphone rt google maps use mobile says,no sentiment
2,keep personal stuff corp ipad way people take care asset,positive
2,google launch major new social network called circles possibly today updated happen link,positive
2,times better luck verizon air card atampt iphone,positive
2,quotgoogle tweet new think speakquot belinsky digital democracy via,positive
2,test drive xperia play details link least,positive
3,quotthe explanation continued success apple existence godquot,no sentiment
2,gsdampm amp googles industry party tonight see u link,positive
3,rt heard apples popup store downtown austin pics already gowalla link,no sentiment
3,attendees need qr code reader iphone tweet us image badge first get optiscan free,no sentiment
3,like think apple decided sell new ipad based suggestion link everyone welcome,no sentiment
2,rt wondering street closures sxsw made google map show link,positive
2,rocks casbah digital rights link,positive
3,trending today fun nerdy nerds,no sentiment
3,updated npr music iphone app song info songs 7 amp live video streaming time link,no sentiment
2,try stay awake im trying get ustream working iphone see badgepicture dat right,positive
2,platform concertgoers launches android app time sxsw link link,positive
2,saw guy tweeting ipad peeing,positive
1,life cant get ipad sync sessions partial iphone fine ipad deciding wants,negative
3,tried new ipad app beautiful ps thanks tvontheradio tix yall rock,no sentiment
3,ipad star gadget sxsw link,no sentiment
3,lots ipad austin bigger thought would,no sentiment
2,cnn demo tv everywhere iphone app html5 adaptive bitrate streaming,positive
3,ipad available online ordering go get urs,no sentiment
3,ipad better product time make worthwhile improvements diller,no sentiment
2,need go mo old sitter know score applemartinlike,positive
2,going come onsulting booth chance win ipad ltamp stimulating conversation doubt,positive
2,last least also get copy stupid game plus iphone link also special price,positive
2,ellen page appearance reduced iphone call hearts broken,positive
2,meet hilton,positive
3,ipad hipster link,no sentiment
3,qampa google bing website rankings fun,no sentiment
3,im looking forward pre party wed hoping ill win resulting shameless promotion,no sentiment
2,apples pop shop lavaca th yes line wraps around block apple store sxsw link,positive
2,google could search engines google instead useful information,positive
3,best newly added iphone app goes awesome come one day one amazing day,no sentiment
2,setting special temp store us downtown link,positive
2,come singapore roars party th street link,positive
3,new post ipad launches huge lines apple popup shop austin link,no sentiment
2,app schedule try schedorg google sched sxsw click first link unofficial parties room counts genius,positive
2,well good morning day im ready another day great panels bc alumni amp industry party tonight,positive
2,funny handing earplugs googleaclu party going announce bad news dont want tweeted,positive
3,google launch major new social network called circles link v,no sentiment
2,u need groups challenged coming iphone app solve parenting issues,positive
2,marissa mayer future ar quotcontextual discoveryquot imagelocationpersonalized contextrecommendations,positive
2,google quash circles rumours rt launching products plenty else ht,positive
2,idea time apple store closes tonight,positive
1,hey marissa mayer please tell us something new products google launched months ago,negative
2,win ipad rt learn native amer tx ballroom 7 00am link,positive
3,perfect iphone app home screen organization link like,no sentiment
2,current screen browser quotupload applicationquot,positive
2,spilled beans next platform flipboard iphone team started working,positive
2,austin weekend supporting smarty ears launch new ipad apps speech therapy link,positive
3,sxsw apple schools marketing experts link,no sentiment
2,googles social network launch parcelgeniecom sxswi hears rumours googles google circles launch today,positive
3,millions dollars saved one company adoption google docs incenticize teams,no sentiment
2,guess rumors wrong launching products plenty else link,positive
2,google doodle,positive
3,geeks need somewhere downtown line get ipad ill dropping,no sentiment
2,im surprised local news austin hasnt mentioned traffic implications apple popup store launches today,positive
3,spotted man need ipad 2 link man need go sxsw apple store,no sentiment
2,google event one drink tricket small amount food event open bar open taco truck,positive
3,hawk ipad festival popup store link,no sentiment
2,u make google party,positive
2,wish went got covered day recap link coynes,positive
3,ive meetings im line popup apple store ipad2 love place,no sentiment
2,false alarm google circles coming probably ever link,positive
2,social important screw big launch circus link,positive
2,rt launch major new social network called circles link v,positive
3,attending designing ipad interfaces new navigation schemas w great stuff far,no sentiment
2,awesome presentation digital magazines link,positive
3,expect lots buzz ipad since comes tomorrow support flash maybe link,no sentiment
2,rt rumor apple opening temporary store austin amp launch link,positive
3,apple opening temporary store downtown austin ipad launch link,no sentiment
2,popup store selling link via,positive
2,backupify announces cloudsight search first searchable archive solution social media google apps link,positive
3,rumours around google circles proven untrue announcement austin texas must something,no sentiment
3,rt love quotapple comes w cool technology ones ever heard dont go conferencesquot,no sentiment
3,apples taking old ipads teach america user gets tax writeoff buy new ipad kinda cool,no sentiment
2,link google going social,positive
2,get season clover touchlink,positive
3,computing insight googles quotwe benefit data centers economies scale continual improvementsquot,no sentiment
2,video ipad line walk austin texas get one today link,positive
2,google circles happening lost,positive
2,google launch major new social network called circles possibly today link,positive
2,hell supposed get new ipad stumbling around austin,positive
3,ipad sold retail storesexcept pop store austin,no sentiment
2,day already share photos video ireport link cnn iphone app,positive
2,show st gen ipad still let door,positive
3,fun w new checkins feature iphone see latest article quotroll squarequot link,no sentiment
2,attending austin guide free download itunes link,positive
3,apple congress nice rt apple set open popup shop core sxsw action link,no sentiment
2,link rt,positive
2,whats best site registeringviewing unofficial events want publicize non event link,positive
2,false alarm google circles coming probably ever link much reports would unveil,positive
3,fell asleep hours eyes open staring stream ipad link,no sentiment
2,google launch new social network sxsw link,positive
2,ipad djs need one tuesday douche bags need apply,positive
2,grab latest link,positive
3,way figure ipad good replacement making year,no sentiment
2,google engineer saidfor search personalizing experience scarybut making relevant people,positive
3,beta testing interactive book ipad app moonbot studios louisiana cool app,no sentiment
3,offered ipad promo ninjafinder users fans sucks,no sentiment
3,quotits affirmative action women product team google literally made product betterquot,no sentiment
3,rt day bank america launched iphone app got k new customers,no sentiment
1,okay fair enough lining new tech cost much better new ipad link,negative
2,nu user rt new app store includes uberguide sponsored,positive
2,seo webiste ranking qampa session google bing starring follow,positive
2,opensource geohashing coming soon used developers called s2,positive
3,ning amp mobile roadie thrilled offer unofficial insiders guide iphone fun austin link,no sentiment
2,vatornews google apple force print media evolve link,positive
3,apple taken storm link excited part,no sentiment
2,splendor dancin spazzmatics aclu google link,positive
2,rt rumor apple opening temporary store downtown austin ipad launch link,positive
2,hoping quothotoboothquot makes industry party monday night,positive
2,gets temporary apple setting temporary store austin link,positive
2,first leg mobile social link,positive
3,think might quit resume tonight ipadiphone tethering couldnt happened better time,no sentiment
0,anyone going buy new ipad donate victims instead,cannot say
2,arriving us looking microsim data iphone recommendations,positive
2,enjoy ride anywhere austin 10 download app link booth,positive
3,im loving apple popup downtown office long last us locals link link,no sentiment
3,q7a im going iphoneipad bought zagg keyboard high hopes plan work,no sentiment
3,dont want lose love,no sentiment
3,apple set open popup shop core sxsw action link,no sentiment
3,lets go apple store score ipad,no sentiment
2,creative process illustrated check book link,positive
2,party podcasts link,positive
2,interesting rt google launch major new social network called circles possibly today link,positive
2,stumbling around lost stay contact group app link,positive
3,apple store downtown austin open til midnight theres still time,no sentiment
2,ben google think making fast aim product day one,positive
2,thanks free mix rt artists hear free sampler link,positive
3,google aclu party tonight best thing ever apparently spazmatics franchised band rock,no sentiment
2,last session html5 reps google ms opera mozilla,positive
2,amp ranking normal results quit ranking page views unique visitors analytics matter,positive
2,rt google launch major new social network called circles possibly today link,positive
3,big night come party google tonight link bands food art interactive maps cc,no sentiment
2,googles social network rumored launch soon link,positive
3,check offers google cool link,no sentiment
2,childish gambino dmi house eating didnt bother looked good location link,positive
1,novelty news apps fades fast among digital delegates link via,negative
2,many ipad used cool,positive
2,didnt get enough hacking rsvp superhappydevhouse sunday austin link,positive
3,find amp start impromptu parties cant wait til android app comes,no sentiment
3,crowd austin swarms ipad launch link via sadly wasnt one,no sentiment
2,ipad pop store,positive
3,gotta love google calendar featuring top parties show cases check rt via gtlink,no sentiment
1,apps distract pubs sez khoi vinh instead focusing reader exp theyre delivering content ways link,negative
2,google maps mobile devices vp link,positive
2,rt confession using laptop ipad blackberry follow afar see,positive
3,funny rt yes theres line front allbutconfirmed popup apple store link,no sentiment
3,nice austin apple pop shop time rt p arrived link,no sentiment
1,glad standard navigation tools might one,negative
3,iphone apps keep grooving link via,no sentiment
2,convenient rt apple opening temp store downtown austin amp ipad2 launch link,positive
2,quotnarcissism amp challenge fb pagesquot link coupled w quotgoogles spam problemquot link explain circles quota bitquot,positive
2,wait fiona apple town somebody kidnap put recording studio records new album,positive
3,prefer news iphone ipad droid apps amp mobile apps,no sentiment
3,lonely job protecting ipad someones gotta link,no sentiment
2,yes rumors true come play ipad booth exhibit hall via,positive
2,cant download free music mix itunes link,positive
2,tweets friends boarding planes around world heading great festival bring ipad,positive
2,nice fun rt thirsty gadget using charge anywhere iphone happy share juice,positive
2,photo still lineup around block apple store link,positive
2,press release ipad apps helping launch link,positive
3,zite intelligent ipad magazine link lt deliciousness,no sentiment
3,apple marketing still impressive rt link,no sentiment
2,hearing travels across us social connections people wandering around ipad tshirts qr codes,positive
2,keep new quake iphone nhk world tv live link,positive
3,lose hour nite attendees blame microsoft apple get credit fixing b4 christmas,no sentiment
2,see googles new social network quotcirclesquot today link,positive
3,best photo booth far googles league extraordinary h4ckers link,no sentiment
3,saves set open popup store despite two austin texas locations link,no sentiment
2,practical ideas android development,positive
0,like ive seen austin google streetview checking apartments austin easy click,cannot say
3,holy smokes ipad2 replacing flip cam default video capture device beautiful elegant apple,no sentiment
3,watch link gtgt fascinating amp true maps saving itme lots,no sentiment
3,apple employee psyches line pop shop moments ipad goes sale link,no sentiment
2,going need lift airport register free shuttle link,positive
2,ipad line easily deep link,positive
3,photo installed iphone app really nice,no sentiment
2,dude propping ipad urinal time isnt valuable,positive
3,line ipad apple store demo units pm link link,no sentiment
3,enjoying radio station link iphone use link link amp plug sound system,no sentiment
2,google launch new social network sxsw cnet news link,positive
1,open graph repair damage google title tag,negative
3,free streamsdownloads via new free winamp app android market direct link app download market link,no sentiment
2,reminder charles chen talking android chromeos access today pm google booth exhibit hall,positive
2,tim oreilly web definition firms tht survived built value frm consumergenerated data ebayamazongoogle,positive
2,text quotxswquot chance win ipad drawing 17 friends must present win see ya link,positive
2,put first sticker mac signing iphone beta link,positive
1,new iphone autocorrect already tried change quotcoworkersquot quotvisigothsquot going long five days,negative
3,following googlebing qa session great insights webmasters,no sentiment
3,spasmatics rockin aclu google party,no sentiment
2,iphone gone yellow cab minivan anyone happens get yellow minivan cab,positive
2,happy womans day make love fuss link,positive
3,nice able use usb charging cord plug add juice iphone,no sentiment
2,apple sets squarefoot temporary store sell new ipads test potential link,positive
0,hijacked iphone since mine doa muahahahahhaahahaa partay time thx dinner,cannot say
2,quottheres google group link,positive
3,want bad would make live blogging ipad much efficient beautiful case beats leather,no sentiment
2,march austin tx people line registration apple store,positive
3,app huge props amp get link,no sentiment
1,watched quotipad design headachesquot buttons hack,negative
2,google officially denied circles launch exists link cont link,positive
0,good place test edgy enough q2 googles check offers testing link,cannot say
2,rumor apple opening temporary store downtown austin launch link,positive
1,deleting iphone app link,negative
2,charging iphone ipad also water gummy bears hilton charging station link,positive
2,excited flipboard swag also rig ipad giveaway work,positive
2,getting ready ipad vs android panel come check,positive
3,google maps street view car sighting link,no sentiment
2,hope people ask tough questions rt reminder android chrome tts talk pm today link,positive
0,home today quotapple comes cool technology ones ever heard dont go conferencesquot,cannot say
2,sxsw rackspace startup program cloud ipad app launched link,positive
2,able check using sq iphone app,positive
0,regardless keyword google thinks local,cannot say
3,better get line rt apple opening temp store downtown austin amp ipad launch link,no sentiment
3,go bars get free drinks iphone,no sentiment
3,cant wait see internet implode austin friday everyone stops normal activity order ipad,no sentiment
2,google fires shot foursquare checkin rewards titles link,positive
3,new post iphone app makes easy connect social networks people meet link,no sentiment
2,apple opening temp store friday th amp congress link,positive
2,platform concertgoers launches android app time sxsw link,positive
2,hey let us know think new google circles social media platform,positive
3,surprise apple opened popup store austin nerds town get new link,no sentiment
3,lonely job protecting ipad someones gotta link,no sentiment
1,dear goer please look fucking iphone walking halls thanks hipsters hilarious,negative
2,ah iphone battery fully recharged courtesy charge anywhere find amp charge fly,positive
2,excited part twitter family stop pepsico playground learn win ipad,positive
2,wear openbeta vip badge might win ipad quibids case,positive
1,exposing iphones horrendous battery life,negative
2,able afford attend buy ipad today consider saving japan earthquake relief quot,positive
2,sxsw attendees come see booth trade show might win ipad,positive
3,got turkey rt random apple fan bought lunch everyone line popup apple store cc,no sentiment
2,wish could go head link pm cst today win vip access acoustic solo set tonight,positive
2,android developers going,positive
2,soo apple store,positive
3,apple driving quotconsumerizationquot,no sentiment
2,hanging convention center find us win free ipad,positive
3,temperature going rt amp fun pic link,no sentiment
2,creatures habit google found ctrs blue links far outpaced green darker link clicks got,positive
2,free link takes store link,positive
3,google goggles may new fave thing,no sentiment
3,want win free attending details link,no sentiment
2,apple two austin stores week downtown presence changes popup store link,positive
2,quotxsw go available iphone ipad android blackberry coming soon windows phone quot presented hp wait,positive
3,googles marissa mayer awesome link,no sentiment
3,googles marissa mayer next looking forward,no sentiment
2,google launching social network definitely rumor still itlink,positive
2,saw u r going dwnld app amp ride 10 austin airport ilink see us booth,positive
2,tweet register exclusive passes events parties ipad quotgive link,positive
2,get look rumored quotupquot store austin link via,positive
2,woman plane next nook blackberry curve android ipad purse,positive
3,updated npr music iphone app song info songs 7 amp live video streaming time link,no sentiment
2,quotur providers cloudkick monitor pagerduty paging dnsmadeeasy postmark ec2 azure google,positive
1,microsoft google ripping us link joomla wannabe logo link,negative
2,get look rumored quotupquot store austin link via,positive
3,truck need,no sentiment
2,ipad design talk,positive
2,apple opened popup store austin nerds town get new ipads link,positive
2,sugar amp gold play fitzgeralds houston tonight way free show bodyaches remix ep link,positive
2,downtown austin apple store congress amp west th street answered question old fashion way googled,positive
3,line apple store goes around block oh thats right ipad also,no sentiment
2,cause need another one rt google launch major new social network called circles poss today link,positive
2,notetaking bingo pull ipad moleskin,positive
2,apple google zappos corporations always founded different important ideas,positive
2,friends dont forget download iphoneipad app link,positive
3,loved hangover breakfast awesome swag yummy food amp rockin tunes stoked griffin cordless iphone charger,no sentiment
2,photo im spending sat night chatting husband skype iphone coffee link,positive
2,apple opening pop store downtown austin ipad launch link via,positive
2,crowd swarms launch link via,positive
3,dealing w white freeze screen far much everyone iphonemaking conversion possibility,no sentiment
3,ipad device moment wireless power next essential technology api king,no sentiment
3,woohoo rt go game launches doityourself iphone scavenger hunts link via see,no sentiment
2,unofficial sxsw app showcase link,positive
3,hope u didnt jinx nice iphone app behaving today crashes yesterday ridiculous,no sentiment
2,ipad line easily deep link,positive
2,hoping pull family card love tonight think tried late,positive
2,south southwest google looks mobile future link,positive
1,trajan google destroyed lttitlegt tag websites seo open graph protocol added clean title tag instead,negative
3,marissa mayer talks future google maps discusses hotpot answer locationbased ratings recommendations kek,no sentiment
3,tech check podcast passes big twitter link,no sentiment
2,pics line link link,positive
2,i10 march pigs link codes valid 0035959p 1211,positive
3,showing uzu ipad app,no sentiment
2,verbs oh bump google facebook ping hashable fuck meet hireme,positive
2,true rt dude theres earthquakes tsunamis ipad get,positive
3,awesome traded last year ipad,no sentiment
3,looks fun party like hosted google aclus n california texas,no sentiment
2,cameron sinclair spearheads japan disaster relief via twitter amp iphone link,positive
3,woman front etchasketch housing ipad awesome,no sentiment
2,ipad queue course,positive
3,ipad accessories bag thanks,no sentiment
1,yea another google product isnt available google apps yet google hotpot,negative
2,coolest iphone amp ipad cases check link,positive
2,group messaging roundup help stay touch sxsw link,positive
2,ill helping 30 twitter good icenhaurs come join us link,positive
3,quotat apple schools marketing expertsquot link,no sentiment
2,hashable american psycho woot rt new post business cards dead send card via hashable link,positive
3,great talk google doodles end hand printed signed doodles link,no sentiment
3,must see app quotbizzyquot link,no sentiment
3,planzai app featuring official british music schedule android market link,no sentiment
3,loving morphie juicepack today recharge iphone worth,no sentiment
1,google incapable disruptive innovation acquired startups last years,negative
2,google give social networking another try quotcirclesquot via link,positive
2,extra ipad sale austin convention center wants one link,positive
2,check video get glimpse action like ipad link,positive
3,person front took picture new ipad,no sentiment
2,featured artist playlist available free link via,positive
3,filming ipad much cooler lame iphone live show link,no sentiment
2,hey apple fans get peek space thats slated popup apple store tomorrow link,positive
2,woke iphone finished recharging means got enough sleep last night right,positive
3,omg apple popup retail please let full palette ipad2s truck parked back,no sentiment
3,smart move apple popup store ipad come pm tomorrow link,no sentiment
2,hey movers shakers publishing quotke boxquot ebook next week get involved link,positive
2,whrrl girls handing chances win audi cars come find us apple store sxsw link,positive
3,apple schools marketing experts cnet link,no sentiment
3,fun interactive maps google party link,no sentiment
2,true rt rumor apple opening temporary store downtown austin amp ipad launch link,positive
2,google quotroduct gatekeeperquot marissa mayer locationbased quotfast fun futurequot link ht,positive
2,apparently line get ipad store grew blocks blocks past mins wut,positive
3,fri dinner enjoying twitter abuzz possible news google circles launch may happen,no sentiment
3,genius behind google circlesreal life social graph network v2 view documents paul adams link,no sentiment
1,thought would use ipad lot havent even touched hmmzies,negative
3,congrats rt yes gowalla wins best andoid app team android choice awards thanks,no sentiment
2,hey folks free lunch la condesa pepsi max lot map link,positive
2,fast society ready party sxsw exclusive demo video link,positive
2,google launch major new social network called circles possibly today link via,positive
2,npr fan built first iphone app affiliated npr firefighter coder,positive
2,great meetings haha link,positive
3,need play game link,no sentiment
2,rt lounge recharge coffee h2o ipad art showfree daily e cont link,positive
2,video interview amp quotgoogle dealsquot link,positive
2,rt reactions google circles news far range quotnot againquot quotlease rescue facebookquot,positive
2,google launching secret new social network called quotcirclesquot link,positive
2,like thats bad rt sitting bar listening music w ppl r nose iphone waitress looks confused,positive
1,massive fail run semi full parked front link,negative
2,quot google launch major new social network called circles possibly today link quot,positive
2,open popup shop link via,positive
2,improve website rankings advice google bing link,positive
2,time coffee muffins news reading lenewz trade show booth behind googles,positive
2,heywire launches group chat facebook google twitter link,positive
2,cameron sinclair spearheads japan disaster relief via twitter amp iphone link retweet,positive
2,android party lustre pearl bar w others link,positive
2,yes thats favorited want win need win doo dah doo dah,positive
2,head link pm cst today win vip access acoustic solo set tonight,positive
2,refreshing liveley informative talk game design mechanics,positive
3,rt look everyone zomg got ipad first day link,no sentiment
2,south southwest app released link,positive
2,hilarious rt look sxsw im bearded guy plaid iphone,positive
3,really want win sn ipad,no sentiment
2,via google launch major new social network called circles possibly today link,positive
3,google maps route around traffic saving users years time every day,no sentiment
2,saw iphone move w nd camera gowalla talk snoring guy busted amp documented get cpap homie,positive
0,team android party cant find gowalla foursquare um go,cannot say
1,hipsters w oversized earphones pluged new ipad make happy texas loose gun laws,negative
3,congratulations winning android award,no sentiment
3,ive taken sxsw iphone ipad apps granted realizing amazing apps big applause designersdevs,no sentiment
2,one say free music someone say free music yes yes link,positive
3,wow google maps mobile v5 demo nice,no sentiment
2,google quotad preferencesquot view edit google thinks like,positive
2,quotwere pass operaquot google opera dev rel,positive
2,summary twitter stream right japan omg engadget effing republicans ipad2 alcohol,positive
3,iphone app unreal clicked location amp person tell still seats,no sentiment
2,quot new app store includes uberguide sponsored link,positive
2,ive run iphone battery hours,positive
2,phrase day iphone ready android coming,positive
2,left brain search google right brain search x sxswlink,positive
2,fan kick giving away ipad visit fb page enter link,positive
2,rsvp wo iphone rt rsvp gt link perfect attendance 18 light bar lt please rt,positive
2,best pickupline iphone charger,positive
2,dan die maar doen rt ipad store sold everything except gig wifi white,positive
2,week clip joins review free go link,positive
2,n32 social network link codes valid 0035959p 1411,positive
3,cant wait see internet implode austin friday everyone stops normal activity order ipad,no sentiment
2,around need us sim iphone gs next wanna bring one,positive
2,google tests checkin offers sxsw link via,positive
2,quotthe future local contextual discoveryquot googles mayer argues exceptionally valuable search,positive
2,many live photos watch live feed link,positive
2,amp finished mad dash complete ipadformatted web app client thatll showing fun,positive
2,apple pop store still ipads stock waiting line link via,positive
2,developers learn mobile accessibility android include browser access link,positive
2,wanted know spec parsing ajax links link,positive
2,lost way caring much business tim oreilly,positive
2,like asserted corporate new indie rt well damn apple setting quotupquot shop link,positive
3,trying make detailed colour coded google calendar proving really tough also get organized,no sentiment
2,live unboxing front apple store video link,positive
3,quotapple comes cool technology ones ever heard dont go conferencesquot via,no sentiment
3,zazzle officially come grille mention youll get make iphone case,no sentiment
3,volume overwhelming market selfpolice thats users picked google bing,no sentiment
2,quotbright spot apple pagemaker saved apple believe god bc explanation apple survival,positive
0,syd crew iphone extra juice pods procured,cannot say
2,bad apple shows late shoots ideas leaves early meeting personality,positive
3,sweet rt opening temporary store downtown austin ipad launch link,no sentiment
2,android dev meetup say,positive
2,seeing demo google maps mobile vector graphics,positive
3,smart move apple opening popup store launch downtown austin link,no sentiment
2,appears apple opening pop store austin employees trying hide beechwood tables gave away,positive
3,even begins apple wins link,no sentiment
2,took ipad work figure im gonna need im,positive
2,download free tracks music sampler including link,positive
3,ipad soldout st time users,no sentiment
3,googles new quotroutearoundquot feature gives alternate routes avoid traffic collectively saving drivers yrsday,no sentiment
0,much want bet apple disproportionately stocking popup store ipad influencerhipsters thank,cannot say
3,worlds largest ipad link,no sentiment
3,yup rt apples popup store day ipad2 release could b genius move mktg history,no sentiment
1,part journalsim support democracy yes informed populous yes ipad focus support,negative
3,yes updated iphone app song info 7 stream others also live video streaming link,no sentiment
2,stop killing trees rt new post business cards dead send card via hashable link,positive
3,excited tell yall wonders android today see soon,no sentiment
2,quot google launch major new social network called circles possibly today link quot,positive
3,ipad gets temporary apple store sxsw link,no sentiment
3,released iphone users grab app hollrbackcom,no sentiment
2,presenter amp austin native john wiley happens chief engineer behind google search,positive
3,decided need ipad,no sentiment
2,launching new social network today link,positive
3,wooooo apple store downtown austin open til midnight,no sentiment
0,reactions google circles news far range quotnot againquot quotlease rescue facebookquot,cannot say
1,quotgoogle looks technical solutions theyre great community human solutionquot,negative
2,case wanna stalk google austinjs rocksauce shang accomplish things,positive
3,found road dawg check ipad store,no sentiment
1,twitter failed last time force chokes iphone,negative
2,reminded abt value google zeitgeist link,positive
2,google launch major new social network called circles possibly today link via,positive
3,terms high resonance right marisa mater google maps places hotspot,no sentiment
3,temp tore set yay link,no sentiment
2,leaving austin sort want cry always remember week adelefiona apple mix solace,positive
2,googles marissa mayer locationbased fast fun future link link,positive
3,fyi breaking google launch major new social network called circlestoday link via,no sentiment
1,know quotatavizquot translates quotatanicquot iphone im sayin,negative
2,co founder google teacher academy bringing hs students austin show use tech link,positive
3,apple putting store downtown austin ipad tablet app disrupt cant wait,no sentiment
2,quotlotta hipsters could meet guy fedora ipad quot assistant stage,positive
2,quotre post ipad death flashquot link,positive
3,going wish could purchase ipad worry link well played apple well played,no sentiment
2,rt per rumor google may preview big social strategy 80sthemed costume party yep link,positive
2,true rt new post business cards dead send card via hashable link cc,positive
2,everyone map favorite places austin link,positive
2,checkout league extraordinary hackers link,positive
2,leaving excellent panel writing compelling content android dev meetup,positive
3,cover time apple store sxsw w others link,no sentiment
3,awesome iphones etc atampt wifi frozen teathering android g2 works like charm,no sentiment
3,convinced upgrade ipad held one trade show failed willpower check,no sentiment
3,xwave headsets actually control iphone apps brain,no sentiment
2,matters link title andor,positive
3,soundtrckr featured musthave link,no sentiment
2,launch social network called circles possibly today link via interesting jl,positive
1,admits iphone app wordpress good yet true respect honesty awareness,negative
3,bought last ipad g mb apple popup store link lt lucky,no sentiment
2,bring guys start austin quotesigning digital magazines ipadquot,positive
3,ipad betterthey time improve,no sentiment
3,rt love quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
3,worked apple years,no sentiment
2,control brain,positive
1,aunties voxpop popular apps worth watch link many android phones view,negative
2,anyone know buy waterproof ipad casepouch austin,positive
3,cnnmoney got craving minds created app foodspotting link,no sentiment
2,shhhh promo code ipad giveaway sxsw2011 web developers link,positive
2,mypov wins hands network hard use new services like crappy network,positive
2,mission round table twitter google dell microsoft icm,positive
2,hootsuite blog social media dashboard hootsuite mobile updates iphone blackberry amp androidlink,positive
2,rumor google launching new social network called today link,positive
1,read selling ipad release day good lord vortex smugness day may unbearable,negative
2,apple iie ad 85 si swimsuit issue garage sale link,positive
2,via apple store downtown austin open til midnight,positive
2,best thing heard quoti gave ipad money relief dont need ipad quot,positive
3,timing everything ipad brand winner sxsw link,no sentiment
2,linkdown non edition ipad art show rise austin world poopin day social media events link,positive
2,google another go social quotgoogle circlesquot,positive
2,far partied w google twilio lego milyoni sick taco party big boi concert sq instagram,positive
2,google launch major new social network called circles possibly today link via,positive
2,interfacecontrols top mobile controls bottom,positive
2,desperately need charging station spots dying iphone,positive
2,grown men playing legos google party speakeasy link,positive
0,ipadi alacagimiz yer belli oldu apple open popup shop austin link via,cannot say
2,wants free free sampler album download link opens itunes link,positive
2,cant talk liquid exp without talking kindle showing examples web kindle iphone versions,positive
2,next year im going set bootleg sidewalk cart austin sell macbook power adapters iphone cables oh red bull,positive
2,wonder front camera back camera use ratio different btwn ipad iphone,positive
