questions,answers
oh sungguh siapa yang menang,sekolah kami melakukannya. mereka bermain sangat bagus.
"sekolah kami, apakah mereka bermain sangat baik",sayang sekali saya sibuk. saya benar-benar ingin pergi.
sayang sekali saya sibuk saya benar-benar ingin pergi,"ya, kamu harus punya. itu sangat menyenangkan."
ya anda harus memilikinya itu benar-benar menarik,jadi berapa skornya?
jadi berapa skornya,skornya 101-98.
skornya adalah 10198,"man, itu adalah pertandingan yang sangat dekat."
pria itu adalah pertandingan yang sangat dekat,itulah yang membuatnya begitu hebat.
itulah yang membuatnya begitu hebat,saya akan memastikan dan membuatnya ke yang berikutnya.
apakah kamu bisa menghadiri pertandingan basket jumat malam,saya tidak bisa datang.
saya tidak bisa datang,kamu seharusnya ada disana. itu intens.
"anda seharusnya berada di sana, itu sangat intens",apakah itu benar. siapa yang akhirnya menang?
adalah hak yang akhirnya menang,tim kami menang.
tim kami menang,saya berharap saya bebas malam itu. saya agak marah karena saya tidak pergi.
saya berharap saya bebas malam itu saya agak marah karena saya tidak pergi,itu adalah permainan yang bagus.
itu adalah permainan yang bagus,berapa skor di akhir pertandingan?
berapa skor di akhir pertandingan,tim kami menang 101-98.
tim kami menang 10198,terdengar seperti pertandingan yang dekat.
terdengar seperti pertandingan yang dekat,itulah alasan mengapa itu adalah permainan yang luar biasa.
itulah alasan mengapa itu adalah permainan yang hebat,"pertandingan berikutnya, saya pasti akan berada di sana."
saya bermaksud bertanya apakah anda melihat pertandingan bola basket pada hari jumat,"saya ingin pergi, tetapi saya tidak bisa."
saya ingin pergi tetapi saya tidak bisa,itu adalah permainan yang bagus.
itu adalah permainan yang bagus,sayang sekali aku tidak bisa hadir. siapa yang menang?
sayang sekali aku tidak bisa membuatnya siapa yang menang,tim kami bermain keras dan menang.
tim kami bermain keras dan menang,saya benar-benar berharap saya pergi ke permainan.
saya benar-benar berharap saya pergi ke permainan,itu adalah game terbaik yang pernah ada.
itu adalah game terbaik yang pernah ada,jadi beri tahu saya skor akhirnya.
jadi beri tahu saya skor akhirnya,"tim lainnya kalah tiga poin, 101-98. "
tim lainnya kalah tiga poin 10198 ,itu pasti pertandingan yang dekat.
itu pasti pertandingan yang dekat,itu benar-benar. kamu harus pergi.
apa yang kamu lakukan minggu ini,saya pergi ke bioskop dengan seorang teman. bagaimana dengan kamu?
saya akan pergi ke bioskop dengan seorang teman bagaimana dengan anda,saya belum yakin
saya belum yakin,"baik, apakah kamu ingin pergi nonton film dengan saya?"
baik apakah kamu ingin pergi menonton film dengan saya,film apa yang akan kamu tonton?
film apa yang akan kamu tonton,saya belum yakin apakah ada sesuatu yang ingin kamu lihat?
saya belum yakin apakah ada sesuatu yang ingin anda lihat,tidak ada yang bisa saya pikirkan.
tidak ada yang bisa saya pikirkan,"jadi, apakah kamu ingin pergi?"
begitu juga kamu ingin pergi,"tidak, terima kasih, mungkin lain kali."
"tidak, terima kasih mungkin lain kali","oke, kedengarannya bagus."
apakah kamu tahu apa yang akan kamu lakukan akhir pekan ini,saya akan melihat film dengan teman saya. bagaimana denganmu
saya akan melihat film dengan seorang teman saya bagaimana dengan anda,saya tidak tahu
saya tidak tahu,apakah anda ingin menonton film dengan saya dan teman saya?
apakah anda ingin melihat film dengan saya dan teman saya,apakah kamu tahu film apa yang akan kamu tonton?
apakah anda tahu film apa yang akan anda tonton,"saya tidak tahu, tetapi apakah ada film tertentu yang ingin anda tonton?"
saya tidak tahu tetapi apakah ada film tertentu yang ingin anda lihat,tidak ada yang bisa saya pikirkan.
tidak ada yang bisa saya pikirkan,"nah, maukah kamu pergi?"
"baik, maukah kamu pergi","terima kasih telah mengundang saya, tetapi saya pikir saya akan lulus."
terima kasih telah mengundang saya tetapi saya pikir sakit hati,baiklah. lain waktu.
anda punya ide tentang apa yang ingin anda lakukan akhir pekan ini,saya pergi ke bioskop dengan teman saya. apa yang akan kamu lakukan?
saya pergi ke bioskop dengan teman saya apa yang akan anda lakukan,saya belum yakin.
saya belum yakin,bagaimana jika anda melihat film dengan saya dan teman saya?
bagaimana jika anda melihat film dengan saya dan teman saya,film apa yang anda dan teman anda rencanakan untuk ditonton?
film apa yang anda dan teman anda rencanakan untuk ditonton,tidak yakin. apakah ada film yang menarik perhatian anda?
tidak yakin apakah ada film yang menarik perhatian anda,tidak ada film bagus yang terlintas dalam pikiran.
tidak ada film bagus yang terlintas dalam pikiran,apakah kamu sudah memutuskan ingin pergi atau tidak?
sudahkah anda memutuskan apakah anda ingin pergi atau tidak,"tidak, terima kasih. mungkin lain waktu."
apakah kamu pergi ke sekolah hari ini,"ya, saya pergi ke sekolah hari ini. apakah kamu disana"
ya saya pergi ke sekolah hari ini apakah kamu di sana,"tidak, saya tidak pergi, saya sakit."
"tidak, aku tidak pergi ive sakit",itu menyebalkan. apakah kamu menginginkan tugas dari kelas bahasa inggris?
menyebalkan apakah anda menginginkan tugas dari kelas bahasa inggris,"itu akan menyenangkan, terima kasih."
alangkah baiknya terima kasih,"tidak masalah, sama-sama."
"tidak masalah, selamat datang",saya akan senang melakukan hal yang sama untuk anda saat anda sakit.
saya akan senang melakukan hal yang sama untuk anda saat anda sakit,baiklah terima kasih. saya berharap untuk melihat anda di sekolah besok.
apakah kamu pernah bersekolah hari ini,saya bersekolah hari ini. apakah kamu?
aku bersekolah hari ini kan,saya tidak bisa bersekolah karena saya merasa sakit.
saya tidak bisa bersekolah karena saya merasa sakit,saya turut berduka mendengarnya. apakah kamu mau tugas dari kelas bahasa inggris?
saya menyesal mendengar bahwa anda ingin tugas dari kelas bahasa inggris,"saya akan sangat menghargai itu, terima kasih."
saya akan sangat menghargai terima kasih itu,tidak ada masalah sama sekali.
tidak ada masalah sama sekali,"jika kamu sakit, aku akan membalas budi."
jika anda sakit sakit balas budi,terima kasih. sampai jumpa di sekolah besok jika kamu merasa lebih baik.
apakah kamu pergi ke sekolah hari ini,saya pergi ke sekolah hari ini. apakah kamu pergi ke sekolah?
saya pergi ke sekolah hari ini apakah kamu pergi ke sekolah,"saya tidak bisa pergi ke sekolah hari ini, saya sakit."
saya tidak bisa pergi ke sekolah hari ini saya sakit,mengerikan. saya akan dengan senang hati memberi anda tugas dari kelas bahasa inggris.
itu mengerikan id dengan senang hati memberi anda tugas dari kelas bahasa inggris,"terima kasih banyak, anda baik sekali."
"terima kasih banyak, terima kasih banyak",jangan sebutkan itu.
jangan sebutkan itu,"ketika anda melewatkan satu hari sekolah, saya akan dengan senang hati memberi anda tugas bahasa inggris."
apakah kamu mendengar beritanya,apa yang terjadi?
apa yang terjadi,sepupu kami melahirkan dan melahirkan bayinya minggu lalu.
sepupu kami melahirkan dan melahirkan bayinya minggu lalu,dia melakukanya? kenapa tidak ada yang memberitahuku?
dia melakukan mengapa tidak ada yang memberitahuku,saya akan berpikir bahwa seseorang akan memberi tahu anda.
saya akan berpikir bahwa seseorang akan memberi tahu anda,"tidak, saya tidak tahu."
"tidak, saya tidak tahu","yah, dia melakukannya, bayinya 8 pon 6 ons."
baik yang dia lakukan bayinya adalah 8 pon 6 ons,"ya tuhan, bagus sekali!"
oh my god itu bagus,apakah kamu akan pergi dan mengunjunginya dan bayinya?
apakah kamu akan pergi dan mengunjunginya dan bayinya,saya pikir saya mungkin.
saya pikir saya mungkin,baik! saya hanya berpikir saya akan memberi tahu anda.
"bagus, saya hanya berpikir saya memberi tahu anda",terima kasih sudah memberitahuku.
pernahkah kamu mendengar apa yang terjadi,dengar apa?
mendengar apa,debrah sudah melahirkan bayinya.
debrah sudah melahirkan bayinya,saya tidak tahu itu.
saya tidak tahu itu,saya pikir kamu tahu.
saya pikir kamu tahu,sejujurnya saya tidak tahu.
sejujurnya saya tidak tahu,bayi itu beratnya 8 pon 6 ons.
bayi itu beratnya 8 pon 6 ons,itu terdengar baik.
itu terdengar baik,maukah kamu pergi dan mengunjungi mereka?
maukah kamu pergi dan mengunjungi mereka,tentu saja saya akan.
tentu saja saya akan,aku hanya ingin memberimu kabar baik.
aku hanya ingin memberimu kabar baik,terima kasih telah memberi tahu saya.
pernahkah kamu mendengar beritanya,saya belum mendengar apa-apa.
saya belum mendengar apa-apa,debrah melahirkan bayinya minggu lalu.
debrah melahirkan bayinya minggu lalu,tidak ada yang memberitahuku.
tidak ada yang memberitahuku,saya pikir anda mendengar.
saya pikir anda mendengar,saya benar-benar tidak diberitahu apa-apa.
saya benar-benar tidak diberitahu apa-apa,dia lucu 8 pon 6 ons.
dia lucu 8 pon 6 ons,"wow, seru sekali."
wow seru sekali,"saya tahu, anda harus benar-benar pergi dan melihatnya dan bayinya."
saya tahu anda harus benar-benar pergi dan melihatnya dan bayinya,tentu saja saya akan.
tentu saja saya akan,saya hanya ingin memberi tahu anda apa yang terjadi.
apakah kamu pergi ke sekolah hari ini,tentu saja. apakah kamu?
tentu saja kamu,"saya tidak mau, jadi saya tidak."
saya tidak ingin jadi saya tidak,"itu menyedihkan, tapi apakah kamu baru-baru ini pergi ke bioskop?"
itu menyedihkan tapi apakah kamu pergi ke bioskop baru-baru ini,itu sebuah saklar.
itu sebuah saklar,aku serius kan?
"aku serius, kamu","tidak, saya belum. mengapa?"
"tidak, saya belum tahu mengapa",saya sangat ingin pergi ke bioskop akhir pekan ini.
saya sangat ingin pergi ke bioskop akhir pekan ini,jadi pergilah.
jadi pergilah,saya benar-benar tidak ingin pergi sendiri.
saya benar-benar tidak ingin pergi sendiri,"baiklah, apakah kamu berencana pergi ke sekolah besok?"
baiklah apakah kamu berencana pergi ke sekolah besok,"tidak, saya pikir saya akan pergi ke bioskop."
apakah kamu berhasil ke sekolah hari ini,aku selalu melakukan. apakah kamu pergi ke sekolah hari ini?
saya selalu melakukan apakah kamu pergi ke sekolah hari ini,"tidak, saya tidak."
"tidak, saya tidak","anda harus melakukannya, tetapi apakah anda pernah menonton film akhir-akhir ini?"
anda harus melakukannya tetapi apakah anda pernah melihat film apa pun belakangan ini,itu adalah perubahan topik yang aneh.
itu adalah perubahan topik yang aneh,"mungkin memang begitu, tapi jawab pertanyaannya."
mungkin itu tapi jawab pertanyaannya,"tidak, tidak baru-baru ini."
"tidak, tidak baru-baru ini",saya ingin pergi menonton film akhir pekan ini.
saya ingin pergi menonton film akhir pekan ini,lalu apa yang menghentikanmu?
lalu apa yang menghentikanmu,saya tidak ingin pergi sendiri.
saya tidak ingin pergi sendiri,"jadi, apa kamu akan ada di sekolah besok?"
anda juga akan berada di sekolah besok,"tidak, saya ingin pergi ke bioskop saja."
apakah kamu repot-repot pergi ke sekolah hari ini,"ya, saya pergi. apakah kamu pergi?"
"ya aku pergi, apakah kamu pergi","tidak, saya tidak merasa seperti itu."
"tidak, aku tidak merasa seperti itu","itu bagus, apakah kamu pernah ke bioskop akhir-akhir ini?"
senang sekali kamu pergi ke bioskop akhir-akhir ini,"tidak, tapi itu adalah topik yang berubah secara acak."
"tidak, tapi itu adalah topik yang berubah secara acak","itu mungkin acak, tetapi apakah anda?"
itu mungkin acak tetapi apakah anda,saya belum akhir-akhir ini.
saya belum akhir-akhir ini,saya ingin sekali menonton film akhir pekan ini.
saya ingin sekali menonton film akhir pekan ini,"jadi, kenapa kamu tidak pergi saja?"
jadi mengapa kamu tidak pergi saja,saya tidak ingin melihat film sendiri.
saya tidak ingin melihat film sendiri,"oke, jadi apa kamu akan pergi ke sekolah besok?"
terima kasih sudah datang menemui saya hari ini,tidak masalah. aku benar-benar merindukanmu.
tidak masalah aku benar-benar merindukanmu,aku juga merindukan mu.
aku juga merindukan mu,mengapa kamu tidak mencoba untuk datang menemuiku?
mengapa kamu tidak mencoba untuk datang menemuiku,saya sangat sibuk.
aku sangat sibuk,melakukan apa?
melakukan apa,kerja.
kerja,"aku akan datang menemuimu lebih cepat, tapi aku juga sibuk."
aku akan datang menemuimu lebih cepat tapi aku juga sibuk,sudah lakukan apa?
sudah lakukan apa,saya telah bekerja juga.
ive telah bekerja juga,"baiklah, saya sangat senang anda datang menemui saya."
baik saya sangat senang bahwa anda datang menemui saya,saya juga.
saya sangat senang anda datang menemui saya,saya harus. aku sangat merindukanmu.
aku harus aku sangat merindukanmu,aku juga merindukanmu.
aku juga merindukanmu,"jadi, kenapa kamu belum mengunjungiku?"
jadi mengapa kamu belum mengunjungi saya,aku sebenarnya sibuk belakangan ini.
ive sebenarnya sibuk belakangan ini,sudah lakukan apa?
sudah lakukan apa,saya baru saja bekerja sangat keras.
ive baru saja bekerja sangat keras,saya juga sibuk.
ive juga sibuk,ceritakan apa yang selama ini kamu lakukan.
ceritakan apa yang selama ini kamu lakukan,"pada dasarnya, saya telah bekerja juga."
pada dasarnya saya telah bekerja juga,"terserah, aku senang kamu datang."
baik apa pun yang saya senang anda datang,aku juga.
saya sangat senang anda datang mengunjungi saya,aku sangat merindukanmu.
aku sangat merindukanmu,aku sangat merindukanmu.
aku sudah merindukanmu seperti orang gila,saya tidak mengerti mengapa anda tidak datang mengunjungi saya.
saya tidak mengerti mengapa anda belum datang mengunjungi saya,"akhir-akhir ini, saya cukup sibuk."
akhir-akhir ini aku cukup sibuk,ceritakan apa yang telah kamu lakukan.
ceritakan apa yang telah kamu lakukan,saya benar-benar telah bekerja banyak akhir-akhir ini.
akhir-akhir ini aku sangat banyak bekerja,saya sendiri sangat sibuk.
aku sendiri sangat sibuk,jadi apa yang telah kamu lakukan?
jadi apa yang telah kamu lakukan,saya baru saja banyak bekerja.
ive baru saja banyak bekerja,"apapun alasannya, saya senang anda mengunjungi saya."
hai apakah kamu mendengar tentang pesta jessicas akhir pekan ini,"ya, tapi saya masih menunggu undangan saya."
ya tapi saya masih menunggu undangan saya,oh benarkah? dia memberiku milikku hari ini.
oh sungguh dia memberiku milikku hari ini,"yah, dia mungkin akan memberiku undanganku nanti hari ini."
baik shell mungkin hanya memberikan saya undangan saya nanti hari ini,"ya, jadi apa kamu berencana pergi?"
ya jadi apakah anda berencana untuk pergi,aku pikir begitu. sepertinya akan sangat menyenangkan.
saya pikir sepertinya ini akan sangat menyenangkan,"itu benar-benar, saya tidak sabar."
itu benar-benar saya tidak sabar,jam berapa pestanya dimulai?
jam berapa pestanya dimulai,itu dimulai pada jam 8.
itu dimulai pada jam 8,"oh, yah, sejauh ini sudah berapa orang yang dia undang?"
"oh yah, berapa banyak orang yang telah dia undang sejauh ini","saya tidak yakin, tapi saya rasa dia tidak memberikan sebanyak itu."
saya tidak yakin tetapi saya tidak berpikir dia diberikan sebanyak itu,"baik, semoga dia memberi saya undangan saya nanti hari ini."
pernahkah kamu mendengar tentang pesta jessicas pada hari sabtu,"saya sudah mendengarnya, tapi saya masih menunggu undangan saya."
saya sudah mendengarnya tapi saya masih menunggu undangan saya,betulkah? aku mendapatkan milikku darinya pagi ini.
sungguh aku mendapatkan milikku darinya pagi ini,saya menduga bahwa dia akan memberi saya undangan saya hari ini atau besok.
saya menduga bahwa dia akan memberi saya undangan saya hari ini atau besok,"anda mungkin benar, apakah anda berniat pergi ke pesta?"
anda mungkin benar apakah anda berniat pergi ke pesta,aku ingin. saya dengar ini akan sangat menyenangkan.
saya ingin saya mendengarnya akan sangat menyenangkan,"saya tahu, kedengarannya cukup mengagumkan."
saya tahu itu terdengar sangat luar biasa,"nah, kapan pestanya dimulai?"
baik kapan pestanya dimulai,itu seharusnya dimulai sekitar pukul delapan.
itu seharusnya dimulai sekitar pukul delapan,berapa banyak undangan yang telah dia berikan?
berapa banyak undangan yang telah dia berikan,"saya benar-benar tidak tahu, tetapi saya pikir dia belum memberikan sebanyak itu."
saya benar-benar tidak tahu tetapi saya pikir dia belum memberikan sebanyak itu,"saya benar-benar ingin pergi, jadi saya harap dia segera memberi saya undangan."
apakah ada yang memberitahumu tentang pesta jessicas yang akan datang,saya sudah diberitahu tentang itu sudah. saya hanya menunggu undangan saya.
saya sudah diberitahu tentang itu saya hanya menunggu undangan saya,apakah itu benar? saya sudah mendapat undangan darinya sebelumnya.
apa benar aku sudah mendapat undangan darinya sebelumnya,saya percaya bahwa dia akan memberi saya undangan hari ini.
saya percaya bahwa dia akan memberi saya undangan hari ini,apakah kamu bahkan akan pergi?
apakah kamu bahkan akan pergi,"ya, sepertinya ini akan menjadi pesta terbaik tahun ini."
ya sepertinya ini akan menjadi pesta terbaik tahun ini,"tepatnya, sepertinya itu akan sangat menyenangkan."
sepertinya itu akan sangat menyenangkan,kapan tepatnya pesta dimulai?
kapan tepatnya pesta dimulai,undangan mengatakan itu dimulai pada 8:00
undangan mengatakan itu dimulai pada jam 800 malam,apakah dia sudah memberikan banyak undangan?
apakah dia sudah memberikan banyak undangan,"saya tidak tahu, dia belum memberikan banyak."
hai apa kabar,tidak ada yang benar-benar.
tidak ada yang benar-benar,saya mengadakan pesta pada hari jumat.
saya akan mengadakan pesta pada hari jumat,saya tidak menyadarinya.
saya tidak menyadarinya,kamu tidak?
kamu tidak,tidak ada yang memberitahuku tentang pestamu.
tidak ada yang memberitahuku tentang pestamu,apakah kamu mau pergi
apakah kamu mau pergi,kapan itu dimulai?
kapan itu dimulai,pada jam 8:00 malam
pada jam 800 malam,saya akan berada disana.
saya akan berada disana,lebih baik aku melihatmu di sana.
aku lebih baik melihatmu di sana,tentu saja.
kamu kenapa,baik. kamu kenapa?
baik apa yang terjadi denganmu,saya mengadakan pesta hari jumat ini.
saya mengadakan pesta hari jumat ini,saya tidak tahu.
saya tidak tahu,apakah itu benar?
apakah itu benar,saya tidak mendengar apa-apa tentang itu.
saya tidak mendengar apa-apa tentang itu,bisakah kamu pergi?
bisakah kamu pergi,jam berapa?
jam berapa,itu dimulai pada jam 8.
itu dimulai pada jam 8,aku akan pergi.
aku akan pergi,saya harap saya akan melihat anda di sana.
saya harap saya tidak melihat anda di sana,tanpa keraguan.
apa yang sedang terjadi,tidak banyak.
tidak banyak,"jumat ini, saya mengadakan pesta."
jumat ini saya mengadakan pesta,oh benarkah? saya tidak tahu itu.
oh sungguh saya tidak tahu itu,apakah kamu serius?
apakah kamu serius,saya belum mendengar apa-apa tentang itu.
saya belum mendengar apa-apa tentang itu,dapatkah anda membuatnya?
dapatkah anda membuatnya,jam berapa itu mulai?
jam berapa itu mulai,pesta dimulai pukul 8.
pesta dimulai pukul 8,"ya, saya pikir saya akan pergi."
ya saya pikir sakit pergi,apakah aku akan menemuimu di sana?
apa yang sedang terjadi,"tidak apa-apa, kamu?"
tidak ada yang benar-benar kamu,aku akan mengadakan pesta sabtu depan.
aku akan mengadakan pesta sabtu depan,apakah itu benar?
apakah itu benar,"ya, apakah kamu akan datang?"
"ya, apakah kamu akan datang","maaf, saya tidak bisa."
maaf saya tidak bisa,kenapa tidak?
kenapa tidak,saya tidak benar-benar ingin.
saya tidak benar-benar ingin,"baiklah, kenapa tidak?"
baik kenapa tidak,aku benci pergi ke pesta.
aku benci pergi ke pesta,"baiklah, tidak apa-apa."
baik tidak apa-apa,ya maaf.
ada apa,"tidak ada, bagaimana denganmu?"
"tidak, bagaimana denganmu","sabtu depan, saya akan mengadakan pesta."
sabtu depan aku akan mengadakan pesta,oh benarkah?
oh benarkah,kamu datang?
kamu datang,mungkin tidak.
mungkin tidak,mengapa demikian?
mengapa demikian,saya tidak ingin pergi.
saya tidak ingin pergi,kenapa tidak?
kenapa tidak,saya benar-benar tidak tahan pergi ke pesta.
saya benar-benar tidak tahan pergi ke pesta,"saya mengerti, saya rasa."
saya mengerti saya kira,maaf soal itu.
apa yang terjadi,"tidak banyak, bagaimana denganmu?"
"tidak banyak, bagaimana denganmu",saya akan mengadakan pesta sabtu depan.
saya akan mengadakan pesta sabtu depan,itu bagus.
itu bagus,apakah kamu akan kesana?
apakah kamu akan berada di sana,saya rasa tidak.
saya rasa tidak,apakah ada alasan kenapa
apakah ada alasannya mengapa,saya hanya benar-benar tidak ingin pergi.
saya hanya benar-benar tidak ingin pergi,bagaimana bisa?
bagaimana bisa,saya tidak terlalu suka pesta.
saya tidak terlalu suka pesta,"saya berharap anda akan pergi, tapi tidak apa-apa."
ada apa,"tidak banyak, apa yang terjadi?"
tidak banyak apa yang terjadi,saya mengadakan pesta hari jumat ini.
saya mengadakan pesta hari jumat ini,oh benarkah? itu bagus.
oh sungguh itu bagus,saya ingin melihat apakah anda ingin datang.
saya ingin melihat apakah anda ingin datang,"jumat ini? maaf, saya sudah punya rencana."
maaf jumat ini saya sudah punya rencana,melakukan apa?
melakukan apa,saya akan makan malam dengan keluarga saya.
saya akan makan malam dengan keluarga saya,"saya benar-benar ingin anda datang, tetapi saya mengerti."
saya benar-benar ingin anda datang tetapi saya mengerti,"ya, mungkin lain kali."
ya mungkin lain kali,aku akan menahanmu untuk itu.
sakit menahanmu untuk itu,kedengaranya seperti sebuah rencana.
hey apa yang baik denganmu,tidak banyak. bagaimana denganmu
"tidak banyak, bagaimana denganmu",saya mengadakan pesta pada hari jumat.
saya akan mengadakan pesta pada hari jumat,itu terdengar menyenangkan.
itu terdengar menyenangkan,apakah kamu pikir kamu bisa datang?
apakah kamu pikir kamu bisa datang,maafkan saya. saya sudah melakukan sesuatu hari jumat ini.
"maaf, saya sudah melakukan sesuatu pada hari jumat ini",apa yang akan kamu lakukan?
apa yang akan kamu lakukan,saya dan keluarga saya akan makan malam.
saya dan keluarga saya akan makan malam,saya berharap anda akan datang.
saya berharap anda akan datang,saya pasti akan mencoba membuatnya lain kali.
sakit pasti mencoba membuatnya lain kali,lebih baik aku melihatmu di sana.
aku lebih baik melihatmu di sana,baiklah. sampai ketemu lain kali.
apa yang sedang terjadi,tidak ada yang benar-benar. bagaimana dengan kamu?
tidak ada yang benar-benar bagaimana denganmu,"banyak, seperti pesta yang saya adakan pada hari jumat."
sangat mirip dengan pesta yang saya adakan pada hari jumat,"baik, itu keren."
baik itu keren,apakah kamu bisa membuatnya?
akankah kamu bisa membuatnya,saya sibuk hari jumat ini. maafkan saya.
"saya sibuk hari jumat ini, saya minta maaf",apa yang harus anda lakukan?
apa yang harus anda lakukan,saya sedang makan malam dengan keluarga saya
saya sedang makan malam dengan keluarga saya,mungkin kamu bisa datang lain kali.
mungkin kamu bisa datang lain kali,saya akan memastikan dan datang ke pesta anda berikutnya.
saya akan memastikan dan datang ke pesta anda berikutnya,saya akan mencari anda di pesta saya berikutnya.
senang berbicara denganmu,mengapa anda mencoba untuk mendesak saya dari telepon?
mengapa anda mencoba untuk mendesak saya dari telepon,saya benar-benar harus pergi.
saya benar-benar harus pergi,mengapa? saya masih ingin berbicara dengan anda.
mengapa saya masih ingin berbicara dengan anda,ada yang harus aku lakukan.
ada yang harus aku lakukan,seperti apa?
seperti apa,jangan usil.
jangan usil,saya tidak. saya hanya ingin tahu.
"saya tidak, saya hanya ingin tahu","baik, itu benar-benar bukan urusanmu."
baik itu benar-benar bukan urusanmu,itu kasar.
itu kasar,maaf tapi saya harus pergi.
maaf tapi saya harus pergi,baik.
ive senang mengobrol dengan anda,adakah alasan mengapa anda mencoba menutup telepon begitu cepat?
adakah alasan mengapa anda mencoba menutup telepon begitu cepat,saya harus pergi.
saya harus pergi,saya belum selesai berbicara dengan anda.
saya belum selesai berbicara dengan anda,"saya harus melakukan beberapa hal, dan selain itu, tidak sopan menjadi usil."
saya harus melakukan beberapa hal dan selain itu tidak sopan menjadi usil,saya tidak sedang usil. saya hanya bertanya.
"saya tidak usil, saya hanya bertanya",saya benar-benar tidak berpikir itu adalah urusan anda.
saya benar-benar tidak berpikir itu adalah urusan anda,itu tidak baik.
itu tidak baik,"saya minta maaf, tapi saya menutup telepon sekarang."
saya minta maaf tetapi saya menutup telepon sekarang,baik.
nanti saya hubungi lagi,apa terburu-buru?
apa terburu-buru,saya harus menutup telepon sekarang.
saya harus menutup telepon sekarang,saya belum siap untuk menutup telepon dengan anda.
saya tidak siap untuk menutup telepon dengan anda,ada hal-hal lain yang perlu saya jaga.
ada hal-hal lain yang perlu saya jaga,apa yang perlu kamu lakukan? 
apa yang perlu kamu lakukan ,tolong jangan usil.
tolong jangan usil,"saya tidak usil, itu hanya sebuah pertanyaan."
im tidak usil itu hanya sebuah pertanyaan,anda tidak perlu khawatir tentang itu.
anda tidak perlu khawatir tentang itu,itu berarti untuk dikatakan.
itu berarti untuk dikatakan,"saya sangat menyesal, tetapi saya harus pergi."
"baik, senang berbicara denganmu",senang berbicara denganmu juga.
senang berbicara denganmu juga,kita harus benar-benar jalan-jalan lagi.
kita harus benar-benar jalan-jalan lagi,itu akan menyenangkan.
itu akan menyenangkan,ke mana kamu mau pergi?
ke mana kamu mau pergi,saya pikir kita harus pergi makan.
saya pikir kita harus pergi makan,boleh juga.
boleh juga,"baiklah, jadi aku akan menemuimu nanti."
baiklah sampai jumpa,aku akan meneleponmu nanti.
aku akan meneleponmu nanti,"oke, aku akan bicara denganmu nanti."
oke aku akan bicara denganmu nanti,sampai jumpa lagi.
sampai jumpa lagi,selamat tinggal.
saya senang berbicara dengan anda,saya senang berbicara dengan anda juga.
saya senang berbicara dengan anda juga,kita harus jalan-jalan sebentar.
kita harus jalan-jalan sebentar,saya pikir itu akan menyenangkan.
saya pikir itu akan menyenangkan,apakah ada yang ingin kamu lakukan lain kali?
apakah ada yang ingin kamu lakukan lain kali,apakah kamu ingin pergi makan?
apakah kamu ingin keluar untuk makan,aku suka itu.
aku suka itu,jadi saya akan melihat anda lain kali.
sangat sakit sampai jumpa lain kali,aku akan meneleponmu segera. 
saya akan segera menghubungi anda ,nanti saya hubungi lagi.
nanti saya hubungi lagi,sampai jumpa lagi.
sampai jumpa lagi,selamat tinggal.
saya bersenang-senang berbicara dengan anda,sangat menyenangkan berbicara dengan anda juga.
sangat menyenangkan berbicara dengan anda juga,saya pikir kita harus benar-benar melakukan sesuatu kapan-kapan.
saya pikir kita harus benar-benar melakukan sesuatu kapan-kapan,itu pasti sangat menyenangkan.
itu pasti sangat menyenangkan,apa yang ingin kamu lakukan lain kali?
apa yang ingin kamu lakukan lain kali,apakah kamu ingin pergi makan malam atau sesuatu?
apakah anda ingin pergi makan malam atau sesuatu,"ya, mari kita lakukan itu."
ya mari kita lakukan itu,"oke, sampai nanti."
oke sampai waktu berikutnya,saya akan menelepon anda sehingga kami dapat mengaturnya.
sakit menelepon anda sehingga kami dapat mengaturnya,berbicara denganmu nanti.
berbicara denganmu nanti,"baiklah, sampai jumpa."
dimana kamu tinggal,saya tinggal di pasadena.
saya tinggal di pasadena,dimana pasadena?
dimana pasadena,itu di california.
itu di california,apakah itu di california utara?
apakah itu di california utara,tidak. itu di california selatan.
tidak ada di california selatan,apakah pasadena kota besar?
adalah pasadena kota besar,itu cukup besar.
itu cukup besar,seberapa besar cukup besar?
seberapa besar cukup besar,itu memiliki sekitar 140.000 orang.
itu memiliki sekitar 140000 orang,seberapa besar los angeles?
seberapa besar los angeles,itu memiliki sekitar 3 juta orang.
apakah kamu mempunyai mobil,"ya, benar."
ya saya lakukan,jenis mobil apa yang kamu punya?
jenis mobil apa yang kamu punya,saya punya honda.
saya punya honda,apakah ini baru
apakah itu baru,itu baru pada tahun 2003.
itu baru pada tahun 2003,"jadi, sudah cukup tua sekarang."
jadi sudah cukup tua sekarang,ya itu. tapi masih terlihat bagus.
ya itu tapi masih terlihat bagus,apakah kamu merawatnya dengan baik?
apakah kamu merawatnya dengan baik,oh ya. saya mencucinya seminggu sekali.
oh ya saya mencucinya seminggu sekali,apakah kamu mengganti oli?
apakah anda mengganti oli,mekanik saya mengganti oli dua kali setahun.
anda punya pacar,"tidak, saya tidak. apakah kamu?"
"tidak, aku tidak melakukannya",saya juga tidak punya pacar.
saya tidak punya pacar juga,kenapa tidak?
kenapa tidak,saya tidak tahu mungkin saya tidak cukup kaya.
saya tidak tahu mungkin saya tidak cukup kaya,perempuan menyukai laki-laki dengan uang.
perempuan menyukai laki-laki yang punya uang,mereka yakin melakukannya.
mereka yakin melakukannya,mereka menyukai pria dengan mobil baru.
