clean_questions,clean_answer,questions,answers
,cuaca bagus,dan itu tidak terlalu kecil.,cuaca bagus sepanjang tahun.
cuaca bagus,memiliki parade mawar,cuaca bagus sepanjang tahun.,itu memiliki parade mawar.
memiliki parade mawar,memiliki rumah indah,itu memiliki parade mawar.,itu memiliki rumah yang indah.
memiliki rumah indah,memiliki restoran indah,itu memiliki rumah yang indah.,itu memiliki restoran yang indah.
memiliki restoran indah,memiliki sekolah bagus,itu memiliki restoran yang indah.,itu memiliki sekolah yang bagus.
memiliki sekolah bagus,pegunungan,itu memiliki sekolah yang bagus.,itu dekat dengan pegunungan.
pegunungan,orangorangnya ramah,itu dekat dengan pegunungan.,orang-orangnya ramah.
orangorangnya ramah,pergi,orang-orangnya ramah.,aku tidak akan pernah pergi.
membutuhkan kasur,,kami membutuhkan kasur baru.,ada apa dengan yang satu ini?
,nyaman,ada apa dengan yang satu ini?,itu tidak nyaman.
nyaman,baikbaik bagiku,itu tidak nyaman.,sepertinya baik-baik saja bagiku.
baikbaik bagiku,bergulingguling malam,sepertinya baik-baik saja bagiku.,saya berguling-guling sepanjang malam.
bergulingguling malam,berhenti minum kopi,saya berguling-guling sepanjang malam.,kamu harus berhenti minum kopi.
berhenti minum kopi,lihat tandatanda lenganku,kamu harus berhenti minum kopi.,lihat tanda-tanda ini di lenganku.
lihat tandatanda lenganku,,lihat tanda-tanda ini di lenganku.,Apakah mereka?
,gigitan,Apakah mereka?,itu adalah gigitan.
gigitan,kucing menggigitmu,itu adalah gigitan.,apakah kucing itu menggigitmu?
kucing menggigitmu,kutu busuk kasur menggigitku,apakah kucing itu menggigitmu?,tidak. Kutu busuk di kasur itu menggigitku.
kutu busuk kasur menggigitku,ayo beli kasur,tidak. Kutu busuk di kasur itu menggigitku.,baik. ayo beli kasur baru.
laptop lambat,beli,laptop saya sangat lambat.,beli yang baru.
beli,uang,beli yang baru.,saya akan jika saya punya uang.
uang,lambat,saya akan jika saya punya uang.,kenapa sangat lambat?
lambat,bagus,kenapa sangat lambat?,itu pertanyaan yang bagus.
bagus,membawanya toko komputer,itu pertanyaan yang bagus.,apakah kamu membawanya ke toko komputer?
membawanya toko komputer,uang,apakah kamu membawanya ke toko komputer?,saya akan jika saya punya uang.
uang,menerimanya,saya akan jika saya punya uang.,"baik, saya rasa Anda harus menerimanya."
menerimanya,terkadang membuangnya jendela,"baik, saya rasa Anda harus menerimanya.",terkadang saya ingin membuangnya ke luar jendela.
terkadang membuangnya jendela,,terkadang saya ingin membuangnya ke luar jendela.,Anda tidak ingin melakukan itu.
,,Anda tidak ingin melakukan itu.,kenapa tidak?
,memukul kepala,kenapa tidak?,Anda mungkin memukul kepala seseorang.
makan malam,,apa untuk makan malam?,saya tidak yakin
,pizza,saya tidak yakin,bagaimana dengan pizza?
pizza,makan pizza makan siang,bagaimana dengan pizza?,kamu makan pizza untuk makan siang.
makan pizza makan siang,suka pizza,kamu makan pizza untuk makan siang.,tapi saya suka pizza.
suka pizza,orang suka pizza,tapi saya suka pizza.,semua orang suka pizza.
orang suka pizza,makan pizza makan malam,semua orang suka pizza.,jadi mengapa saya tidak bisa makan pizza untuk makan malam?
makan pizza makan malam,membutuhkan variasi,jadi mengapa saya tidak bisa makan pizza untuk makan malam?,karena Anda membutuhkan variasi.
membutuhkan variasi,variasi,karena Anda membutuhkan variasi.,"apa itu ""variasi?"
variasi,berbeda,"apa itu ""variasi?",hal yang berbeda bukan hal yang sama sepanjang waktu.
berbeda,maksud pizza pepperoni pizza keju,hal yang berbeda bukan hal yang sama sepanjang waktu.,"Maksud Anda, seperti pizza pepperoni dan bukan pizza keju?"
maksud pizza pepperoni pizza keju,maksud salad pizza,"Maksud Anda, seperti pizza pepperoni dan bukan pizza keju?","tidak, maksud saya salad, bukan pizza."
menghemat uang,menghemat uang,kita perlu menghemat uang.,mengapa kita perlu menghemat uang?
menghemat uang,membeli rumah,mengapa kita perlu menghemat uang?,karena kita perlu membeli rumah.
membeli rumah,rumah mahal,karena kita perlu membeli rumah.,tapi sebuah rumah sangat mahal.
rumah mahal,menghemat uang,tapi sebuah rumah sangat mahal.,itulah mengapa kita perlu menghemat uang.
menghemat uang,hemat,itulah mengapa kita perlu menghemat uang.,berapa banyak yang perlu kita hemat?
hemat,menabung uang muka,berapa banyak yang perlu kita hemat?,kita perlu menabung cukup untuk uang muka.
menabung uang muka,harganya,kita perlu menabung cukup untuk uang muka.,berapa harganya?
harganya,30000,berapa harganya?,itu sekitar $ 30.000.
30000,puluh ribu dolar,itu sekitar $ 30.000.,tiga puluh ribu dolar! itu akan berlangsung selamanya.
puluh ribu dolar,menabung sen,tiga puluh ribu dolar! itu akan berlangsung selamanya.,tidak jika kita menabung setiap sen.
menabung sen,tujuh sen,tidak jika kita menabung setiap sen.,baik. ini tujuh sen.
lautnya,,lautnya sangat besar.,Anda tidak dapat melihat akhirnya.
,,Anda tidak dapat melihat akhirnya.,itu berlangsung terus dan selamanya.
,,itu berlangsung terus dan selamanya.,dan itu juga dalam.
,pikir mil dalamnya,dan itu juga dalam.,saya pikir itu lima mil dalamnya.
pikir mil dalamnya,ikan dasar,saya pikir itu lima mil dalamnya.,apakah ada ikan di dasar?
ikan dasar,ikan,apakah ada ikan di dasar?,ada ikan di bagian atas dan bawah.
ikan,ikan orang,ada ikan di bagian atas dan bawah.,apakah ada lebih banyak ikan atau lebih banyak orang?
ikan orang,pikir ikan,apakah ada lebih banyak ikan atau lebih banyak orang?,saya pikir ada lebih banyak ikan.
pikir ikan,berharap suka makan ikan,saya pikir ada lebih banyak ikan.,saya berharap begitu. saya suka makan ikan
kesal ibuku,,aku kesal dengan ibuku.,mengapa demikian?
,memperingatkan pacar barunya mendengarkan,mengapa demikian?,saya memperingatkan dia tentang pacar barunya. dia tidak mendengarkan saya.
memperingatkan pacar barunya mendengarkan,,saya memperingatkan dia tentang pacar barunya. dia tidak mendengarkan saya.,apa yang terjadi?
,memberinya 1000 ulang tahunnya menghabiskannya,apa yang terjadi?,saya memberinya $ 1.000 untuk ulang tahunnya. saya mengatakan kepadanya untuk menghabiskannya untuk dirinya sendiri.
memberinya 1000 ulang tahunnya menghabiskannya,,saya memberinya $ 1.000 untuk ulang tahunnya. saya mengatakan kepadanya untuk menghabiskannya untuk dirinya sendiri.,Anda sangat baik.
,menemukan memberikannya pacar barunya,Anda sangat baik.,saya menemukan bahwa dia memberikannya kepada pacar barunya.
menemukan memberikannya pacar barunya,,saya menemukan bahwa dia memberikannya kepada pacar barunya.,kenapa dia melakukan itu?
,bilang membelikannya cincin bagus,kenapa dia melakukan itu?,dia bilang dia akan membelikannya cincin yang bagus.
bilang membelikannya cincin bagus,salah,dia bilang dia akan membelikannya cincin yang bagus.,Apa yang salah dengan itu?
salah,pergi las vegas kalah perjudian,Apa yang salah dengan itu?,dia pergi ke las vegas. dia kalah dalam perjudian.
pergi las vegas kalah perjudian,harap ibumu putus dengannya,dia pergi ke las vegas. dia kalah dalam perjudian.,Saya harap ibumu putus dengannya.
hewan berbicara,berbicara,apakah hewan berbicara satu sama lain?,tentu saja mereka berbicara satu sama lain.
berbicara,bicarakan,tentu saja mereka berbicara satu sama lain.,apa yang mereka bicarakan?
bicarakan,berbicara hewan,apa yang mereka bicarakan?,mereka berbicara tentang hewan lain.
berbicara hewan,bicarakan,mereka berbicara tentang hewan lain.,apa lagi yang mereka bicarakan?
bicarakan,berbicara makanan cuaca,apa lagi yang mereka bicarakan?,mereka berbicara tentang makanan dan cuaca.
berbicara makanan cuaca,membicarakan,mereka berbicara tentang makanan dan cuaca.,apakah mereka membicarakan kita?
membicarakan,membicarakan,apakah mereka membicarakan kita?,tentu saja mereka membicarakan kami.
membicarakan,,tentu saja mereka membicarakan kami.,apa yang mereka katakan tentang kita?
,berpenampilan lucu,apa yang mereka katakan tentang kita?,mereka mengatakan bahwa kami berpenampilan lucu.
berpenampilan lucu,ha berpenampilan lucu hewan lucu,mereka mengatakan bahwa kami berpenampilan lucu.,Ha! kami tidak berpenampilan lucu; hewan terlihat lucu.
ha berpenampilan lucu hewan lucu,lucu memakai pakaian,Ha! kami tidak berpenampilan lucu; hewan terlihat lucu.,kami terlihat lucu karena kami memakai pakaian.
membersihkan rumah,ya kotor,saya harus membersihkan rumah.,"ya, itu sangat kotor."
ya kotor,bantu,"ya, itu sangat kotor.",kamu bisa bantu saya.
bantu,,kamu bisa bantu saya.,kenapa saya
,membantu membuatnya kotor,kenapa saya,karena Anda membantu membuatnya kotor.
membantu membuatnya kotor,lakukan,karena Anda membantu membuatnya kotor.,apa yang kamu ingin aku lakukan?
lakukan,membersihkan kamar mandi,apa yang kamu ingin aku lakukan?,aku ingin kamu membersihkan kamar mandi.
membersihkan kamar mandi,oh mudah,aku ingin kamu membersihkan kamar mandi.,"oh, itu mudah."
oh mudah,bersihkan wastafel bak mandi meja toilet,"oh, itu mudah.","bersihkan wastafel, bak mandi, meja, dan toilet."
bersihkan wastafel bak mandi meja toilet,pekerjaan,"bersihkan wastafel, bak mandi, meja, dan toilet.",itu banyak pekerjaan.
pekerjaan,selesai,itu banyak pekerjaan.,beri tahu saya setelah Anda selesai.
selesai,pekerjaan,beri tahu saya setelah Anda selesai.,saya rasa tidak. Anda hanya akan memberi saya lebih banyak pekerjaan.
menonton tv,maksudmu,Anda terlalu banyak menonton TV.,apa maksudmu?
maksudmu,maksud menyianyiakan hidup,apa maksudmu?,"Maksud saya, Anda menyia-nyiakan hidup Anda."
maksud menyianyiakan hidup,bersenang senang,"Maksud saya, Anda menyia-nyiakan hidup Anda.",saya sedang bersenang senang.
bersenang senang,duduk mulut terbuka,saya sedang bersenang senang.,Anda sedang duduk di sana dengan mulut terbuka.
duduk mulut terbuka,peduli,Anda sedang duduk di sana dengan mulut terbuka.,siapa peduli?
peduli,peduli lakukan,siapa peduli?,aku peduli. lakukan sesuatu.
peduli lakukan,,aku peduli. lakukan sesuatu.,baik. Saya melakukan sesuatu.
,lakukan,baik. Saya melakukan sesuatu.,apa yang kamu lakukan?
lakukan,mengeraskan volume,apa yang kamu lakukan?,saya mengeraskan volume.
mengeraskan volume,maksud,saya mengeraskan volume.,"bukan itu yang saya maksud dengan ""melakukan sesuatu""."
maksud,maukah tinggalkan,"bukan itu yang saya maksud dengan ""melakukan sesuatu"".",maukah kamu melakukan sesuatu? tinggalkan aku sendiri.
menulis surat nenek,ya lakukan,apakah kamu menulis surat untuk nenek?,ya saya lakukan.
ya lakukan,memberitahunya sekolah,ya saya lakukan.,apakah kamu memberitahunya tentang sekolah?
memberitahunya sekolah,sekolah menyenangkan,apakah kamu memberitahunya tentang sekolah?,saya mengatakan kepadanya bahwa sekolah itu menyenangkan.
sekolah menyenangkan,memasukkan surat amplop,saya mengatakan kepadanya bahwa sekolah itu menyenangkan.,apakah kamu memasukkan surat itu ke dalam amplop?
memasukkan surat amplop,ya menyegel amplopnya,apakah kamu memasukkan surat itu ke dalam amplop?,"ya, dan saya menyegel amplopnya."
ya menyegel amplopnya,cap amplop,"ya, dan saya menyegel amplopnya.",apakah Anda memberi cap pada amplop?
cap amplop,menemukan perangko,apakah Anda memberi cap pada amplop?,saya tidak dapat menemukan perangko.
menemukan perangko,laci dapur,saya tidak dapat menemukan perangko.,mereka ada di laci dapur.
laci dapur,cap amplop,mereka ada di laci dapur.,baik. Saya baru saja memberi cap di amplop.
cap amplop,amplopnya mengirimkannya,baik. Saya baru saja memberi cap di amplop.,"berikan saya amplopnya, dan saya akan mengirimkannya untuk Anda."
amplopnya mengirimkannya,nenek belajar email,"berikan saya amplopnya, dan saya akan mengirimkannya untuk Anda.",kapan nenek akan belajar tentang email?
menguap,mengantuk,kenapa kamu menguap,saya mengantuk.
mengantuk,pergi tidur,saya mengantuk.,kenapa kamu tidak pergi tidur?
pergi tidur,menonton acara tv,kenapa kamu tidak pergi tidur?,saya ingin menonton acara tv ini
menonton acara tv,merekamnya,saya ingin menonton acara tv ini,mungkin Anda harus merekamnya.
merekamnya,alat perekamnya rusak,mungkin Anda harus merekamnya.,alat perekamnya rusak.
alat perekamnya rusak,menonton tayangan ulang,alat perekamnya rusak.,maka Anda harus menonton tayangan ulang.
menonton tayangan ulang,menonton aslinya,maka Anda harus menonton tayangan ulang.,Mengapa? saya menonton aslinya.
menonton aslinya,tertidur menit,Mengapa? saya menonton aslinya.,tapi Anda akan tertidur sekitar satu menit.
tertidur menit,menguap iklannya tayang,tapi Anda akan tertidur sekitar satu menit.,Aku hanya menguap karena iklannya sedang tayang.
menguap iklannya tayang,memberitahumu pertunjukan,Aku hanya menguap karena iklannya sedang tayang.,baik. Aku akan memberitahumu bagaimana pertunjukan itu berakhir.
memberitahumu pertunjukan,zzz,baik. Aku akan memberitahumu bagaimana pertunjukan itu berakhir.,zzz.
minggu,,ini Minggu.,begitu?
,,begitu?,Anda tahu apa artinya.
,lupa,Anda tahu apa artinya.,saya lupa.
lupa,minggu pergi gereja,saya lupa.,minggu artinya kita pergi ke gereja.
minggu pergi gereja,oh ya,minggu artinya kita pergi ke gereja.,Oh ya.
oh ya,kenakan jas dasi,Oh ya.,kenakan jas dan dasi.
kenakan jas dasi,,kenakan jas dan dasi.,Mengapa?
,hormat tuhan orang,Mengapa?,untuk menunjukkan rasa hormat kepada tuhan dan orang lain.
hormat tuhan orang,senang minggu seminggu,untuk menunjukkan rasa hormat kepada tuhan dan orang lain.,Saya senang hari minggu hanya seminggu sekali.
senang minggu seminggu,harap tuhan mendengarnya,Saya senang hari minggu hanya seminggu sekali.,Saya harap tuhan tidak mendengarnya.
harap tuhan mendengarnya,memaafkanku,Saya harap tuhan tidak mendengarnya.,dia akan memaafkanku.
makan kucing,melakukannya sebentar,apakah kamu memberi makan kucing itu?,saya akan melakukannya sebentar lagi.
melakukannya sebentar,kucing mengeong lapar,saya akan melakukannya sebentar lagi.,kucing itu mengeong. dia lapar.
kucing mengeong lapar,memberinya makan,kucing itu mengeong. dia lapar.,baik. aku akan memberinya makan sekarang.
memberinya makan,membuatnya menunggu,baik. aku akan memberinya makan sekarang.,kamu tidak harus membuatnya menunggu.
membuatnya menunggu,pekerjaan rumah,kamu tidak harus membuatnya menunggu.,saya sedang mengerjakan pekerjaan rumah saya.
pekerjaan rumah,kucing peduli pekerjaan rumah,saya sedang mengerjakan pekerjaan rumah saya.,kucing tidak peduli dengan pekerjaan rumah Anda.
kucing peduli pekerjaan rumah,kucing peduli,kucing tidak peduli dengan pekerjaan rumah Anda.,kucing itu tidak peduli tentang apa pun.
kucing peduli,kucing,kucing itu tidak peduli tentang apa pun.,begitulah kucing.
kucing,pikirkan,begitulah kucing.,semua yang mereka pikirkan adalah diri mereka sendiri.
pikirkan,menyingkirkannya,semua yang mereka pikirkan adalah diri mereka sendiri.,mungkin kita harus menyingkirkannya.
menyingkirkannya,keluarga,mungkin kita harus menyingkirkannya.,tentu saja tidak! dia keluarga.
benci bercukur,,saya benci bercukur.,saya juga.
,memotong,saya juga.,saya baru saja memotong diri saya lagi.
memotong,pisau,saya baru saja memotong diri saya lagi.,apakah kamu menggunakan pisau baru?
pisau,pisau dipotong pisau dipotong,apakah kamu menggunakan pisau baru?,"tidak masalah. pisau lama dipotong, pisau baru dipotong."
pisau dipotong pisau dipotong,alat cukur listrik,"tidak masalah. pisau lama dipotong, pisau baru dipotong.",mungkin sebaiknya anda menggunakan alat cukur listrik.
alat cukur listrik,suara mencukur,mungkin sebaiknya anda menggunakan alat cukur listrik.,"mereka membuat banyak suara, tapi mereka tidak mencukur terlalu dekat."
suara mencukur,berhenti bercukur,"mereka membuat banyak suara, tapi mereka tidak mencukur terlalu dekat.",mungkin Anda harus berhenti bercukur.
berhenti bercukur,menumbuhkan janggut,mungkin Anda harus berhenti bercukur.,dan menumbuhkan janggut?
menumbuhkan janggut,,dan menumbuhkan janggut?,Tentu. kenapa tidak?
,makanan barang menempel janggut,Tentu. kenapa tidak?,karena makanan dan barang lainnya menempel di janggut saya.
makanan barang menempel janggut,hmm idenya oleskan krim wajah biarkan kucing menjilatnya,karena makanan dan barang lainnya menempel di janggut saya.,hmm. inilah idenya. oleskan krim di wajah Anda dan biarkan kucing menjilatnya.
permisi,iya,permisi.,Iya?
iya,membaca tulisan,Iya?,apakah kamu membaca tulisan ini?
membaca tulisan,oh silahkan,apakah kamu membaca tulisan ini?,Oh tidak. silahkan.
oh silahkan,kertasnya sebelah,Oh tidak. silahkan.,saya bertanya karena kertasnya ada di sebelah Anda.
kertasnya sebelah,terima kasih sopan,saya bertanya karena kertasnya ada di sebelah Anda.,Terima kasih. itu sopan bagi Anda untuk bertanya.
terima kasih sopan,orang mengambilnya,Terima kasih. itu sopan bagi Anda untuk bertanya.,beberapa orang akan mengambilnya begitu saja.
orang mengambilnya,ya orang sopan,beberapa orang akan mengambilnya begitu saja.,ya saya tahu. beberapa orang tidak sopan.
ya orang sopan,berusaha bersikap sopan,ya saya tahu. beberapa orang tidak sopan.,saya selalu berusaha untuk bersikap sopan.
berusaha bersikap sopan,,saya selalu berusaha untuk bersikap sopan.,begitu juga aku.
,dunia membutuhkan orang sopan,begitu juga aku.,dunia membutuhkan lebih banyak orang yang sopan seperti kita.
dunia membutuhkan orang sopan,setuju 100 persen,dunia membutuhkan lebih banyak orang yang sopan seperti kita.,saya setuju 100 persen.
anak anjing,biarkan berpikir,"ibu, saya ingin anak anjing.",biarkan aku berpikir tentang hal itu.
biarkan berpikir,memikirkannya,biarkan aku berpikir tentang hal itu.,kenapa kamu harus memikirkannya?
memikirkannya,anak anjing membutuhkan uang,kenapa kamu harus memikirkannya?,karena anak anjing membutuhkan uang.
anak anjing membutuhkan uang,anak anjing gratis,karena anak anjing membutuhkan uang.,"tidak, tidak. anak anjing gratis."
anak anjing gratis,ya anak anjing disuntik,"tidak, tidak. anak anjing gratis.","ya, tapi anak anjing perlu disuntik."
ya anak anjing disuntik,tembakan,"ya, tapi anak anjing perlu disuntik.",tembakan untuk apa?
tembakan,sakit suntikan,tembakan untuk apa?,agar tidak sakit. sama seperti Anda mendapat suntikan.
sakit suntikan,benci tembakan,agar tidak sakit. sama seperti Anda mendapat suntikan.,aku benci tembakan.
benci tembakan,anak anjing makan makanan makanan membutuhkan uang,aku benci tembakan.,dan anak anjing makan makanan. makanan membutuhkan uang.
anak anjing makan makanan makanan membutuhkan uang,memberinya makanan piringku,dan anak anjing makan makanan. makanan membutuhkan uang.,tidak masalah. aku akan memberinya makanan dari piringku.
memberinya makanan piringku,oh anak anjing makan sayur,tidak masalah. aku akan memberinya makanan dari piringku.,"oh, tidak, tidak. anak anjing tidak makan sayur."
lihat anak kucing,,lihat semua anak kucing ini!,ada berapa
,delapan,ada berapa,delapan.
delapan,lucu,delapan.,mereka semua sangat lucu.
lucu,ya menyimpannya,mereka semua sangat lucu.,"ya, tapi saya tidak bisa menyimpannya."
ya menyimpannya,lakukan,"ya, tapi saya tidak bisa menyimpannya.",apa yang akan kamu lakukan dengan mereka?
lakukan,memberikannya,apa yang akan kamu lakukan dengan mereka?,aku akan memberikannya. Apakah kamu mau satu?
memberikannya,ya menyukainya,aku akan memberikannya. Apakah kamu mau satu?,"ya, saya akan menyukainya."
ya menyukainya,,"ya, saya akan menyukainya.",yang mana yang kamu mau?
,hitam,yang mana yang kamu mau?,yang itu. yang semuanya hitam.
hitam,ya suka,yang itu. yang semuanya hitam.,"ya, saya suka yang itu juga."
ya suka,memanggilnya berkulit hitam,"ya, saya suka yang itu juga.",saya akan memanggilnya berkulit hitam.
orang tua pergi gereja minggu,percaya tuhan,orang tua saya pergi ke gereja setiap hari minggu.,mereka percaya pada tuhan.
percaya tuhan,berharap masuk surga,mereka percaya pada tuhan.,mereka berharap akan masuk surga.
berharap masuk surga,melakukannya,mereka berharap akan masuk surga.,mereka mungkin akan melakukannya.
melakukannya,,mereka mungkin akan melakukannya.,tapi tidak ada yang tahu pasti.
,,tapi tidak ada yang tahu pasti.,itu sudah pasti.
,mati,itu sudah pasti.,tidak ada yang tahu apa yang terjadi setelah kita mati.
mati,bahagia surga tuhan,tidak ada yang tahu apa yang terjadi setelah kita mati.,"jika kita baik, kita akan bahagia di surga bersama tuhan."
bahagia surga tuhan,dipercaya orang,"jika kita baik, kita akan bahagia di surga bersama tuhan.",itulah yang dipercaya banyak orang.
dipercaya orang,buruk bahagia neraka,itulah yang dipercaya banyak orang.,"jika kita buruk, kita tidak akan bahagia selamanya di neraka."
buruk bahagia neraka,pergi neraka,"jika kita buruk, kita tidak akan bahagia selamanya di neraka.",saya tidak ingin pergi ke neraka.
pergi neraka,ayo pergi gereja orang tuamu minggu,saya tidak ingin pergi ke neraka.,ayo pergi ke gereja dengan orang tuamu pada hari minggu.
suamiku meninggal,maaf untukmu,suamiku meninggal.,aku minta maaf untukmu.
maaf untukmu,terima kasih,aku minta maaf untukmu.,Terima kasih.
terima kasih,meninggal,Terima kasih.,kapan dia meninggal?
meninggal,,kapan dia meninggal?,beberapa bulan yang lalu.
,merindukannya,beberapa bulan yang lalu.,Kamu masih merindukannya.
merindukannya,ya berbicara dengannya,Kamu masih merindukannya.,"ya, tapi saya berbicara dengannya hampir setiap hari."
ya berbicara dengannya,pergi gereja,"ya, tapi saya berbicara dengannya hampir setiap hari.",kapan kamu pergi ke gereja?
pergi gereja,menelepon ponselnya,kapan kamu pergi ke gereja?,"tidak, ketika saya menelepon dia di ponselnya."
menelepon ponselnya,maksudmu,"tidak, ketika saya menelepon dia di ponselnya.",apa maksudmu?
maksudmu,menguburkannya ponselnya,apa maksudmu?,saya menguburkannya dengan ponselnya.
menguburkannya ponselnya,lakukan baterai mati,saya menguburkannya dengan ponselnya.,apa yang akan kamu lakukan jika baterai mati?
jumat tanggal belas,buruk,hari ini adalah hari Jumat tanggal tiga belas.,itu hari yang buruk.
buruk,beruntung,itu hari yang buruk.,itu seharusnya tidak beruntung.
beruntung,tinggal rumah,itu seharusnya tidak beruntung.,Anda seharusnya tinggal di rumah sepanjang hari.
tinggal rumah,lakukan,Anda seharusnya tinggal di rumah sepanjang hari.,itu yang saya lakukan.
lakukan,teman tinggal hotel jumat tanggal belas,itu yang saya lakukan.,teman saya tinggal di hotel pada hari Jumat tanggal tiga belas.
teman tinggal hotel jumat tanggal belas,kesalahan,teman saya tinggal di hotel pada hari Jumat tanggal tiga belas.,itu adalah sebuah kesalahan.
kesalahan,tinggal lantai belas,itu adalah sebuah kesalahan.,dia tinggal di lantai tiga belas.
tinggal lantai belas,,dia tinggal di lantai tiga belas.,apa yang terjadi?
,mencuri laptopnya,apa yang terjadi?,seseorang mencuri laptopnya.
mencuri laptopnya,memintanya,seseorang mencuri laptopnya.,dia memintanya.
memintanya,belajar pelajarannya rumah,dia memintanya.,dia belajar pelajarannya. dia ada di rumah hari ini.
kau benarbenar mencintaiku,,Apakah kau benar-benar mencintaiku?,tentu saja.
,buktikan,tentu saja.,buktikan itu.
buktikan,membuktikannya,buktikan itu.,bagaimana saya bisa membuktikannya?
membuktikannya,bawa makan malam,bagaimana saya bisa membuktikannya?,bawa aku makan malam.
bawa makan malam,lakukan,bawa aku makan malam.,itu dia? hanya itu yang harus saya lakukan?
lakukan,bawa restoran bagus mcdonalds,itu dia? hanya itu yang harus saya lakukan?,"bawa aku ke restoran yang bagus, bukan ke mcdonald's."
bawa restoran bagus mcdonalds,restoran bagus membutuhkan uang,"bawa aku ke restoran yang bagus, bukan ke mcdonald's.",tetapi restoran yang bagus membutuhkan uang.
restoran bagus membutuhkan uang,ya reservasi,tetapi restoran yang bagus membutuhkan uang.,"ya, dan Anda harus melakukan reservasi."
ya reservasi,merepotkan,"ya, dan Anda harus melakukan reservasi.",itu merepotkan.
merepotkan,mencintaiku,itu merepotkan.,aku tahu kamu tidak mencintaiku.
mencintaiku,oke oke reservasi,aku tahu kamu tidak mencintaiku.,oke oke! saya akan membuat reservasi sekarang.
orang tua bercerai,milikku,orang tua saya bercerai.,begitu juga milikku.
milikku,orang tuamu bercerai,begitu juga milikku.,mengapa orang tuamu bercerai?
orang tuamu bercerai,ayah menemukan pacar,mengapa orang tuamu bercerai?,ayah saya menemukan pacar baru.
ayah menemukan pacar,buruk,ayah saya menemukan pacar baru.,itu sangat buruk.
buruk,ibuku terluka marah,itu sangat buruk.,ibuku terluka dan marah.
ibuku terluka marah,alasan bagus lakukan,ibuku terluka dan marah.,dia punya alasan bagus. apa yang dia lakukan?
alasan bagus lakukan,menyuruhnya meninggalkan pacarnya,dia punya alasan bagus. apa yang dia lakukan?,dia menyuruhnya untuk meninggalkan pacarnya.
menyuruhnya meninggalkan pacarnya,ayahmu lakukan,dia menyuruhnya untuk meninggalkan pacarnya.,apa yang ayahmu lakukan?
ayahmu lakukan,pindah rumah,apa yang ayahmu lakukan?,dia pindah dari rumah kami.
pindah rumah,kurasa menyukai pacar barunya,dia pindah dari rumah kami.,kurasa dia sangat menyukai pacar barunya.
kurasa menyukai pacar barunya,ya meninggalkannya setahun,kurasa dia sangat menyukai pacar barunya.,"ya, tapi dia meninggalkannya setahun kemudian."
apartemen nenekku berbau lucu,milikku,Apartemen nenekku berbau lucu.,begitu juga milikku.
milikku,pikir bau orang tua,begitu juga milikku.,saya pikir itu bau orang tua.
pikir bau orang tua,,saya pikir itu bau orang tua.,Betulkah?
,iya pikir tua mencium bau,Betulkah?,"Iya. Saya pikir ketika Anda menjadi tua, Anda mulai mencium bau."
iya pikir tua mencium bau,buah matang,"Iya. Saya pikir ketika Anda menjadi tua, Anda mulai mencium bau.",seperti buah yang terlalu matang?
buah matang,ya buah matang,seperti buah yang terlalu matang?,"ya, sama seperti buah yang terlalu matang."
ya buah matang,baunya berbeda,"ya, sama seperti buah yang terlalu matang.",tapi baunya berbeda.
baunya berbeda,ya orang tua berbau buah,tapi baunya berbeda.,"ya, orang tua tidak berbau seperti buah."
ya orang tua berbau buah,baunya toko barang bekas,"ya, orang tua tidak berbau seperti buah.","tidak, baunya seperti toko barang bekas."
baunya toko barang bekas,ya toko barang bekas memiliki bau,"tidak, baunya seperti toko barang bekas.","ya, toko barang bekas memiliki bau yang sama."
ya toko barang bekas memiliki bau,ya bau,"ya, toko barang bekas memiliki bau yang sama.","ya, bau lama."
harga perangko,pikir perangko harganya sepeser,harga perangko naik dan naik.,Saya pikir perangko dulu harganya sepeser pun.
pikir perangko harganya sepeser,,Saya pikir perangko dulu harganya sepeser pun.,itu sudah lama sekali.
,lahir,itu sudah lama sekali.,itu sebelum saya lahir.
lahir,perangko seharga 42 sen,itu sebelum saya lahir.,sekarang perangko seharga 42 sen.
perangko seharga 42 sen,44 sen,sekarang perangko seharga 42 sen.,tapi mungkin akan menjadi 44 sen.
44 sen,kehilangan surat pos,tapi mungkin akan menjadi 44 sen.,apakah Anda pernah kehilangan surat melalui pos?
kehilangan surat pos,,apakah Anda pernah kehilangan surat melalui pos?,"tidak, saya belum."
,,"tidak, saya belum.",aku juga tidak.
,pekerjaan uang,aku juga tidak.,"jadi, mereka melakukan pekerjaan dengan baik demi uang."
pekerjaan uang,ya melakukanya,"jadi, mereka melakukan pekerjaan dengan baik demi uang.",ya mereka melakukanya.
ya melakukanya,mengeluh,ya mereka melakukanya.,mungkin kita tidak boleh mengeluh.
kancing lepas bajuku,lakukan,sebuah kancing lepas dari bajuku.,apa yang akan kamu lakukan?
lakukan,menemukan tombolnya,apa yang akan kamu lakukan?,"pertama, saya harus menemukan tombolnya."
menemukan tombolnya,dimana kehilangannya,"pertama, saya harus menemukan tombolnya.",dimana kamu kehilangannya?
dimana kehilangannya,ide,dimana kamu kehilangannya?,Saya tidak punya ide.
ide,tombol sulit ditemukan manset celana,Saya tidak punya ide.,tombol sulit ditemukan. apakah Anda melihat di manset celana Anda?
