questions,answers
do you know any good jokes,i can't remember jokes.
i cant remember jokes,neither can i.
neither can i,they go in one ear and out the other.
they go in one ear and out the other,who makes up all these jokes?
who makes up all these jokes,who knows? but there must be a hundred new ones every day.
who knows but there must be a hundred new ones every day,"yes, just in english alone."
yes just in english alone,i wonder if every language has jokes.
i wonder if every language has jokes,of course! people everywhere like good jokes.
of course people everywhere like good jokes,what do you think people joke about the most?
what do you think people joke about the most,i think most jokes are about women.
i think most jokes are about women,"oh, really? i think most jokes are about men!"
youre very lucky,why do you say that?
why do you say that,you speak two languages.
you speak two languages,"well, my english isn't perfect."
well my english isnt perfect,no one speaks perfect english.
no one speaks perfect english,maybe i will be the first!
maybe i will be the first,i've been thinking about learning spanish.
ive been thinking about learning spanish,spanish is easy. i'll be happy to teach you.
spanish is easy ill be happy to teach you,how long will it take me to learn?
how long will it take me to learn,i think it will only take you a year or two.
i think it will only take you a year or two,how soon can we begin?
how soon can we begin,ahora! that means right now.
do you know what today is,"yes, it's april 22."
yes its april 22,it's more than just a date.
its more than just a date,is it your birthday or anniversary?
is it your birthday or anniversary,"no, it's earth day."
no its earth day,what's that?
whats that,it's a yearly reminder to take care of our planet.
its a yearly reminder to take care of our planet,"oh, you mean like reuse things and recycle stuff?"
oh you mean like reuse things and recycle stuff,"yes. we need to think green, save water, and stop using plastic bags."
yes we need to think green save water and stop using plastic bags,how about if i take shorter showers?
how about if i take shorter showers,"that's a good idea, because showers waste a lot of water."
thats a good idea because showers waste a lot of water,from now on i'll spend only 20 minutes in the shower.
poetry sucks,i don't know anyone who likes it.
i dont know anyone who likes it,"some of it is okay, i guess."
some of it is okay i guess,"yes, the poems that rhyme and are easy to remember."
yes the poems that rhyme and are easy to remember,"like ""one, two, buckle my shoe."""
like one two buckle my shoe,but people still write poems.
but people still write poems,no one makes any money at it.
no one makes any money at it,shakespeare was a poet.
shakespeare was a poet,did he get rich from his poetry?
did he get rich from his poetry,probably not.
probably not,poems are a little bit like songs.
poems are a little bit like songs,"yes, but songs have music. without music, songs would suck, too."
how smart are you,i don't know. i think i'm average.
i dont know i think im average,did you ever take an iq test?
did you ever take an iq test,"no, i never did. all i know is that i got a's and b's in school."
no i never did all i know is that i got as and bs in school,i wish i was really smart.
i wish i was really smart,don't be ridiculous.
dont be ridiculous,what do you mean?
what do you mean,"if you're going to make a wish, wish that you were really rich or famous."
if youre going to make a wish wish that you were really rich or famous,don't you ever wonder what it's like to be super-smart?
dont you ever wonder what its like to be supersmart,it must be very lonely.
it must be very lonely,why's that?
whys that,"because if you're super-smart, no one understands what you're saying."
i missed the tv news last night what was on,nothing that would pass as news.
nothing that would pass as news,what's the weather going to be like this weekend?
whats the weather going to be like this weekend,"i don't know. whenever the weather comes on, i switch channels."
i dont know whenever the weather comes on i switch channels,what was the lead story on the news?
what was the lead story on the news,some actress was in court for driving without a license.
some actress was in court for driving without a license,what was the second story?
what was the second story,some actor married a woman young enough to be his daughter.
some actor married a woman young enough to be his daughter,what was the third story?
what was the third story,a bull chased a man in a supermarket.
a bull chased a man in a supermarket,wasn't there anything about octo-mom?
wasnt there anything about octomom,of course. she's going to hire a nanny for her eight infants.
what are you going to do about your death,"well, mostly i'll try to avoid it."
well mostly ill try to avoid it,"i mean, are you going to get buried or cremated?"
i mean are you going to get buried or cremated,my wife and i will be cremated.
my wife and i will be cremated,are you going to be buried next to each other?
are you going to be buried next to each other,"oh, no. our ashes will be shaken into the ocean."
oh no our ashes will be shaken into the ocean,you're not going to be buried?
youre not going to be buried,a coffin costs too much and takes up too much space.
a coffin costs too much and takes up too much space,"yes, but it will be in a cemetery where your children can visit you."
yes but it will be in a cemetery where your children can visit you,children seldom visit their parents in a cemetery.
children seldom visit their parents in a cemetery,"that's true. a cemetery is for dead people, not living people."
thats true a cemetery is for dead people not living people,we figure our kids can visit us whenever they go to the beach.
did you wipe your feet ,"yes, of course i wiped my feet."
yes of course i wiped my feet,then why is there mud on the carpet?
then why is there mud on the carpet,i don't know. it's not my mud.
i dont know its not my mud,"well, someone brought it into the house."
well someone brought it into the house,look at the bottom of my shoesâ—they're clean.
look at the bottom of my shoesã‚â€”theyre clean,of course they're clean. you left all the mud on the carpet.
of course theyre clean you left all the mud on the carpet,"okay, i'll get the vacuum cleaner."
okay ill get the vacuum cleaner,don't vacuum it now.
dont vacuum it now,don't you want me to clean up the mud?
dont you want me to clean up the mud,wait till it dries. it will be easier to vacuum.
wait till it dries it will be easier to vacuum,next time i will be more careful.
what are you getting for your mom,what are you talking about?
what are you talking about,sunday is mother's day.
sunday is mothers day,this sunday?
this sunday,of course. it's all over the news.
of course its all over the news,i thought it was next sunday.
i thought it was next sunday,"well, you'd better get her something."
well youd better get her something,i'll get her a nice card.
ill get her a nice card,is that it?
is that it,yes. that's all i ever give her.
yes thats all i ever give her,"she raised you, and all you ever give her is a card?"
she raised you and all you ever give her is a card,it's okay. she knows that i love her.
i dont like our flag,what's the matter with it?
whats the matter with it,it's too much like other flags.
its too much like other flags,"yes, a lot of flags have stripes."
yes a lot of flags have stripes,a flag should be pretty.
a flag should be pretty,what should our flag look like?
what should our flag look like,it should have a pretty woman on it.
it should have a pretty woman on it,that's ridiculous!
thats ridiculous,you don't like pretty women?
you dont like pretty women,of course i do. but not on our flag!
of course i do but not on our flag,every nation should have a pretty woman on their flag.
every nation should have a pretty woman on their flag,you can't go to war carrying a flag with a woman on it!
i had a busy morning,what did you do?
what did you do,i watered all the plants.
i watered all the plants,you have a lot of plants.
you have a lot of plants,then i did my laundry.
then i did my laundry,that takes some time.
that takes some time,i took the dog for a walk.
i took the dog for a walk,i'll bet he enjoyed his walk.
ill bet he enjoyed his walk,i vacuumed the entire house.
i vacuumed the entire house,that's a lot of work.
thats a lot of work,and then i made lunch.
and then i made lunch,i'll bet you were hungry!
i dont have long distance service with my home phone,so how do you make long distance calls?
so how do you make long distance calls,i use a calling card.
i use a calling card,where do you get that?
where do you get that,i buy it at the dollar store.
i buy it at the dollar store,how much is it?
how much is it,it's one dollar for 100 minutes.
its one dollar for 100 minutes,that's only a penny a minute!
thats only a penny a minute,it's a great price. but you have to dial a lot of numbers.
its a great price but you have to dial a lot of numbers,how many?
how many,"first you dial seven numbers, then ten numbers, then ten more numbers."
first you dial seven numbers then ten numbers then ten more numbers,yikes. i think i'll keep my long distance service.
do you go to college,"yes, i do."
yes i do,what college do you go to?
what college do you go to,i go to pasadena city college.
i go to pasadena city college,do you like it?
do you like it,"oh, yes, i really like it."
oh yes i really like it,why do you like it?
why do you like it,because it has great teachers.
because it has great teachers,what else?
what else,"i like all my classmates, too."
i like all my classmates too,anything else?
anything else,yes. it's not expensive!
i lost my new pen,where did you lose it?
where did you lose it,i don't know.
i dont know,when did you lose it?
when did you lose it,i think i lost it today. i used it yesterday.
i think i lost it today i used it yesterday,did you check all your pockets?
did you check all your pockets,i checked all my pockets.
i checked all my pockets,did you look in your desk?
did you look in your desk,"yes. it isn't there, either."
yes it isnt there either,it's probably around somewhere.
its probably around somewhere,"oh, well, it only cost me a dollar."
oh well it only cost me a dollar,only a dollar? don't even look for it.
gravity is very important,what is gravity?
what is gravity,it's the force that pulls everything down.
its the force that pulls everything down,i don't understand.
i dont understand,"if you pour water into a glass, the water goes down into the glass."
if you pour water into a glass the water goes down into the glass,of course it does.
of course it does,"without gravity, the water would go up."
without gravity the water would go up,you're joking.
youre joking,"without gravity, you would go up."
without gravity you would go up,what do you mean?
what do you mean,you would float into the sky like a balloon.
you would float into the sky like a balloon,that would be fun!
i cant read my book,turn on the light.
turn on the light,the light is on.
the light is on,open the book.
open the book,the book is open.
the book is open,see an eye doctor.
see an eye doctor,that's what i need to do.
thats what i need to do,he'll give you a prescription for glasses.
hell give you a prescription for glasses,i'll make an appointment tomorrow.
ill make an appointment tomorrow,i'll get the yellow pages for an eye doctor.
ill get the yellow pages for an eye doctor,read the phone number to me.
read the phone number to me,"i'll read it very loud, in case your hearing is getting bad, too."
what do you need for school,i need pencils.
i need pencils,anything else?
anything else,i need a notebook.
i need a notebook,do you need a pen?
do you need a pen,no. i already have a pen.
no i already have a pen,do you need a calculator?
do you need a calculator,no. the teacher doesn't permit calculators.
no the teacher doesnt permit calculators,how about a dictionary?
how about a dictionary,"no, we have a big dictionary in the classroom."
no we have a big dictionary in the classroom,"well, i guess that's it."
well i guess thats it,"yes, that's all i need for now."
i like this magazine,so do i.
so do i,"i read it once, and i subscribed."
i read it once and i subscribed,it gives you all the news.
it gives you all the news,all the news in only 50 pages.
all the news in only 50 pages,i like the political cartoons.
i like the political cartoons,i like the beautiful photos of the houses for sale.
i like the beautiful photos of the houses for sale,i always read the film reviews.
i always read the film reviews,i never miss the food and drink section.
i never miss the food and drink section,i gave a subscription to my parents.
i gave a subscription to my parents,me too. they canceled their other news magazines.
me too they canceled their other news magazines,so did mine!
my pen is out of ink,shake it a couple of times.
shake it a couple of times,i shook it. there is no more ink.
i shook it there is no more ink,you can borrow mine.
you can borrow mine,thank you. i'll buy a new one tomorrow.
thank you ill buy a new one tomorrow,what were you doing?
what were you doing,i was writing a letter.
i was writing a letter,who were you writing to?
who were you writing to,it's to my mom.
its to my mom,tell her i said hello.
tell her i said hello,okay. i'll return your pen when i'm done.
okay ill return your pen when im done,take your time.
have you done your homework,not yet.
not yet,then why are you watching tv?
then why are you watching tv,this is my favorite show.
this is my favorite show,go do your homework.
go do your homework,"but, mom!"
but mom,you can watch tv after you do your homework.
you can watch tv after you do your homework,but the show will be over.
but the show will be over,there will be another show next week.
there will be another show next week,please?
please,you know the rules.
you know the rules,i hate the rules! i can't wait till i grow up.
i cant wait until i graduate,me too.
me too,no more homework.
no more homework,i hate homework.
i hate homework,are you going to college?
are you going to college,i can't afford it.
i cant afford it,me neither.
me neither,so what are you going to do?
so what are you going to do,i'm joining the army.
im joining the army,you're kidding. you might get killed.
youre kidding you might get killed,"i don't think so. after i finish, i'll have enough money to go to college."
i dont think so after i finish ill have enough money to go to college,that's not a bad idea.
what is your major,english.
english,what are you going to do with an english major?
what are you going to do with an english major,i'm going to be a teacher.
im going to be a teacher,high school or middle school?
high school or middle school,high school.
high school,i teach high school english.
i teach high school english,i didn't know that.
i didnt know that,i started teaching five years ago.
i started teaching five years ago,how do you like it?
how do you like it,do you see all this gray hair? it was totally black five years ago.
do you see all this gray hair it was totally black five years ago,maybe i'll teach middle school.
parking at school is impossible,i'll say.
ill say,i drove around for half an hour.
i drove around for half an hour,did you find a spot?
did you find a spot,"i found a spot, but someone cut in and took it from me."
i found a spot but someone cut in and took it from me,did you yell at them?
did you yell at them,"yes, i did."
yes i did,and?
and,and he yelled back at me.
and he yelled back at me,how rude.
how rude,but i got lucky a few minutes later.
but i got lucky a few minutes later,you have to be lucky to find a parking space.
this is a huge library,"yes, it has lots of rooms and lots of space."
yes it has lots of rooms and lots of space,and lots of books.
and lots of books,and lots of thieves.
and lots of thieves,what do you mean?
what do you mean,"i mean, keep your belongings close to you."
i mean keep your belongings close to you,the only thing in my backpack is used books.
the only thing in my backpack is used books,but thieves don't know that.
but thieves dont know that,they might think that i've got an ipod or laptop in there.
they might think that ive got an ipod or laptop in there,now you're thinking.
now youre thinking,you'd think a library would be safe from thieves.
youd think a library would be safe from thieves,not even a church is safe from thieves.
how good is your math,i can add two and two.
i can add two and two,so you're not very good at math?
so youre not very good at math,i'm terrible at math.
im terrible at math,"well, i need some help."
well i need some help,with what?
with what,i'm taking a math course in school.
im taking a math course in school,"well, you should ask your teacher or your classmates for help."
well you should ask your teacher or your classmates for help,i can't do that.
i cant do that,why not?
why not,they might think i'm stupid.
they might think im stupid,they're not going to think that! they'll be glad to help you.
do you believe in god,of course.
of course,do you pray to god?
do you pray to god,occasionally.
occasionally,when's that?
whens that,when i need something.
when i need something,like what?
like what,"well, if i have a big test at school."
well if i have a big test at school,does god answer your prayers?
does god answer your prayers,"yes, i've passed all my tests."
yes ive passed all my tests,do you ever pray for money?
do you ever pray for money,not yet. i won't need to do that until i graduate from high school.
the cops finally found the husband,what husband?
what husband,the husband of the driver who ran over two college students at 3 a.m.
the husband of the driver who ran over two college students at 3 am,"oh, yeah. the girl died instantly, and the boy is still in the hospital."
oh yeah the girl died instantly and the boy is still in the hospital,the husband said he tried to help the boy.
the husband said he tried to help the boy,"yes, he pushed him off the hood of the car."
yes he pushed him off the hood of the car,"no, he said he gently placed the boy on the street."
no he said he gently placed the boy on the street,so what? they still drove off.
so what they still drove off,the husband said a fire department was nearby.
the husband said a fire department was nearby,so what? did he dial 911?
so what did he dial 911,"he said he was thinking about it, but he didn't get around to it."
he said he was thinking about it but he didnt get around to it,"he didn't get around to turning himself in, either."
i dont like riding the bus,why not?
why not,the seats and windows are dirty.
the seats and windows are dirty,don't they clean the bus every night?
dont they clean the bus every night,i think they do.
i think they do,you should bring some wipes with you.
you should bring some wipes with you,that's a good idea.
thats a good idea,then you can wipe your seat and window.
then you can wipe your seat and window,people will think i'm strange.
people will think im strange,who cares? everyone is strange.
who cares everyone is strange,that's for sure.
thats for sure,don't worry about what people think.
i dont like riding the bus,why not?
why not,"number one, it's too slow."
number one its too slow,you're right. a car is faster.
youre right a car is faster,"number two, it's usually late."
number two its usually late,you're right. the buses are never on time.
youre right the buses are never on time,"number three, it doesn't run 24 hours."
number three it doesnt run 24 hours,you're right. buses don't run late at night.
youre right buses dont run late at night,"number four, it's too crowded."
number four its too crowded,you're right. you have to stand in the aisle.
youre right you have to stand in the aisle,"number five, it's unsafe."
number five its unsafe,you're right. bad guys might rob you.
we had a problem at school,what was the problem?
what was the problem,someone cut the tires.
someone cut the tires,what tires?
what tires,the tires on the cars.
the tires on the cars,where were the cars?
where were the cars,they were in the student parking lot.
they were in the student parking lot,how many tires were cut?
how many tires were cut,one or two tires were cut on each car.
one or two tires were cut on each car,how many cars?
how many cars,eleven cars.
eleven cars,that's terrible. i hope they catch the person.
life isnt fair,it sure isn't.
it sure isnt,i got a ticket yesterday.
i got a ticket yesterday,what for?
what for,i was crossing the street.
i was crossing the street,were you in a crosswalk?
were you in a crosswalk,"yes, but the red hand was blinking."
yes but the red hand was blinking,so? that's a ticket?
so thats a ticket,"yes, it's a $140 ticket."
yes its a 140 ticket,that's not right!
thats not right,"when i started to cross the street, the white walk sign was blinking."
when i started to cross the street the white walk sign was blinking,you need to walk faster.
youre driving too fast,why do you say that?
why do you say that,the speed limit is 65.
the speed limit is 65,i know that.
i know that,but you're doing 75.
but youre doing 75,so is everyone else.
so is everyone else,but a cop might stop you.
but a cop might stop you,"no, he won't. some cars are doing 85."
no he wont some cars are doing 85,so the cop will stop those cars?
so the cop will stop those cars,of course. he stops the fastest cars.
of course he stops the fastest cars,my friend got a ticket for doing 75.
my friend got a ticket for doing 75,your friend was unlucky.
remember to put air in your tires,how often do i have to do that?
how often do i have to do that,once every two months.
once every two months,that's a lot.
thats a lot,what do you mean?
what do you mean,that's six times a year!
thats six times a year,"yes, and it takes about five minutes each time."
yes and it takes about five minutes each time,i'll try.
ill try,check your tires or you'll get a flat.
check your tires or youll get a flat,oh. that's not good.
oh thats not good,"no, it isn't. a flat costs you time and money."
no it isnt a flat costs you time and money,and i don't have either.
youre driving too fast,i'm in a hurry.
im in a hurry,don't ever be in a hurry.
dont ever be in a hurry,it's not my fault. you didn't wake me up.
its not my fault you didnt wake me up,that's not my fault. you didn't tell me to wake you up.
thats not my fault you didnt tell me to wake you up,"well, i meant to."
well i meant to,don't ever be in a hurry when you're driving.
dont ever be in a hurry when youre driving,why not?
why not,because you'll have an accident. most accidents are because people are in a hurry.
because youll have an accident most accidents are because people are in a hurry,how do you know that?
how do you know that,i read a lot.
i read a lot,i thought drunks caused most accidents.
lets go for a ride,where are we going?
where are we going,into the mountains.
into the mountains,that sounds nice.
that sounds nice,i want to show you my new car.
i want to show you my new car,you bought a new car?
you bought a new car,yes. i bought a cadillac.
yes i bought a cadillac,a luxury car.
a luxury car,luxury plus speed.
luxury plus speed,what are we waiting for?
what are we waiting for,let me get the keys.
let me get the keys,let me get my camera.
i have to go to the bathroom,why didn't you go before we left?
why didnt you go before we left,"i did, but i have to go again."
i did but i have to go again,"well, hold on a little longer."
well hold on a little longer,i think i'm going to explode.
i think im going to explode,just hold on.
just hold on,oh! don't hit any more bumps!
oh dont hit any more bumps,we'll be at mcdonald's in just a few minutes.
well be at mcdonalds in just a few minutes,i hope they are fast minutes.
i hope they are fast minutes,think about something else. think about a hamburger.
think about something else think about a hamburger,"i'm thinking, but i still have to go."
im thinking but i still have to go,it's the next exit. hold on!
wheres the car,what do you mean?
what do you mean,the car isn't here.
the car isnt here,where did you park it?
where did you park it,i parked it right here.
i parked it right here,are you sure?
are you sure,yes. i remember this big tree.
yes i remember this big tree,maybe it's the wrong tree.
maybe its the wrong tree,"no, this is the tree."
no this is the tree,did someone steal it?
did someone steal it,i sure hope not.
i sure hope not,maybe they towed it away.
look at this traffic,i'd rather not.
id rather not,it gets worse every year.
it gets worse every year,why are you complaining? we're going almost 20 miles an hour.
why are you complaining were going almost 20 miles an hour,the speed limit is 65!
the speed limit is 65,"well, that's between 2:00 and 4:00 a.m."
well thats between 200 and 400 am,where are all these people going?
where are all these people going,they're all asking the same question.
theyre all asking the same question,when are they going to fix this problem?
when are they going to fix this problem,they said they need more money.
they said they need more money,they always need more money.
they always need more money,it'll get worse before it gets better.
did you see that car,"yes, he went through the red light."
yes he went through the red light,can we call the police?
can we call the police,"no, the police don't care."
no the police dont care,why not?
why not,they have to see it happen.
they have to see it happen,they don't believe us?
they dont believe us,no. they can only give a ticket if they see it happen.
no they can only give a ticket if they see it happen,"so, what do we do?"
so what do we do,we don't do anything.
we dont do anything,maybe we should honk the horn next time.
maybe we should honk the horn next time,the driver will just honk back at us.
my car is dirty,why don't you wash it?
why dont you wash it,that's what i'm going to do.
thats what im going to do,are you going to wash it yourself?
are you going to wash it yourself,of course. it's not a hard job.
of course its not a hard job,i'll help you.
ill help you,"okay, i'll get a bucket."
okay ill get a bucket,i'll rinse the car first.
ill rinse the car first,then we can scrub it with a wet sponge and soap.
then we can scrub it with a wet sponge and soap,"after that, we can dry it with a towel."
after that we can dry it with a towel,then it will look like new
then it will look like new,and you save $10.
it sure is windy today,paper is flying everywhere.
paper is flying everywhere,this wind is dangerous for drivers.
this wind is dangerous for drivers,especially for drivers of big trucks.
especially for drivers of big trucks,the wind blows those trucks over.
the wind blows those trucks over,"it blows trees over, too."
it blows trees over too,a tree fell onto my dad's car.
a tree fell onto my dads car,was there much damage?
was there much damage,my dad had to buy a new car.
my dad had to buy a new car,wow! that's terrible.
wow thats terrible,never park your car under a tree.
never park your car under a tree,"the wind will get you, or the birds will get you."
when are we going to stop,we'll stop at the next mcdonald's.
well stop at the next mcdonalds,how far away is that?
how far away is that,i think we'll be there in half an hour.
i think well be there in half an hour,i hope so. i have to go to the bathroom.
i hope so i have to go to the bathroom,"well, i can always pull over."
well i can always pull over,"no, thank you, i'll just wait."
no thank you ill just wait,we can kill two birds with one stone.
we can kill two birds with one stone,what do you mean?
what do you mean,"while you're using the bathroom, i'll order some food."
while youre using the bathroom ill order some food,don't order for me. i'm not hungry.
dont order for me im not hungry,"i'm very hungry. i'll order for you, and then i'll eat yours."
this is such a long light,look how many cars are waiting in line.
look how many cars are waiting in line,they need a left-turn arrow.
they need a leftturn arrow,only two cars can make a left turn every three or four minutes.
only two cars can make a left turn every three or four minutes,we'll be here forever.
well be here forever,get out of this lane.
get out of this lane,but we need to turn left.
but we need to turn left,forget it. go straight.
forget it go straight,then what?
then what,then we'll just make a u-turn.
then well just make a uturn,and then we can turn right at the light.
and then we can turn right at the light,good idea. it will be so much quicker.
i need a cheap car,how much money do you have?
how much money do you have,"$1,000."
1000,"well, that should get you something."
well that should get you something,but i need something that's reliable.
but i need something thats reliable,you need a car with low mileage.
you need a car with low mileage,a car that was owned by a little old lady.
a car that was owned by a little old lady,where have you looked?
where have you looked,i haven't looked anywhere yet.
i havent looked anywhere yet,why not?
why not,because i'll never find one for such a low price.
because ill never find one for such a low price,you're right about that. keep saving your money.
good afternoon officer,"your driver's license and registration, please."
your drivers license and registration please,here you go.
here you go,do you know why i pulled you over?
do you know why i pulled you over,i have no idea. all of a sudden i heard your siren.
i have no idea all of a sudden i heard your siren,you rolled through that stop sign back there.
you rolled through that stop sign back there,but i stopped!
but i stopped,"no, you didn't. you slowed down, but you didn't come to a full stop."
no you didnt you slowed down but you didnt come to a full stop,"well, nobody else does, so why should i?"
well nobody else does so why should i,that's not the attitude of a good driver.
thats not the attitude of a good driver,but i am a good driver. i've never had a ticket in my life.
but i am a good driver ive never had a ticket in my life,"well, you've got one now. here. have a nice day."
140 i cant believe it,what are you talking about?
what are you talking about,i got a ticket downtown for $140.
i got a ticket downtown for 140,were you speeding?
were you speeding,"no, i was crossing the street."
no i was crossing the street,were you jaywalking?
were you jaywalking,"no, i was in the crosswalk."
no i was in the crosswalk,so why did you get a ticket?
so why did you get a ticket,the officer said the red hand was blinking.
the officer said the red hand was blinking,was it blinking when you entered the crosswalk?
was it blinking when you entered the crosswalk,"no, the white walk sign was blinking."
no the white walk sign was blinking,you should fight that ticket. i'll be your witness.
they were in a crosswalk near school at 3 am,who?
who,two students from usc.
two students from usc,what happened?
what happened,"a speeding car ran a red light, killing the girl."
a speeding car ran a red light killing the girl,what happened to the other student?
what happened to the other student,he landed on the hood of the car.
he landed on the hood of the car,did he get off the hood?
did he get off the hood,"no, the car stopped and the passenger pushed the injured student off the hood."
no the car stopped and the passenger pushed the injured student off the hood,i'll bet the car continued on its way.
ill bet the car continued on its way,of course it did. why stop after you've run over two people?
of course it did why stop after youve run over two people,i hope they find them and put them in jail for life.
what happened to your car,i got a dent in the parking lot.
i got a dent in the parking lot,how did you get it?
how did you get it,i don't know. maybe it was from a shopping cart.
i dont know maybe it was from a shopping cart,those shopping carts are dangerous.
those shopping carts are dangerous,especially the metal ones.
especially the metal ones,i don't park at a store that uses metal shopping carts.
i dont park at a store that uses metal shopping carts,"that's a good idea, but there was a good sale at this store."
thats a good idea but there was a good sale at this store,did you save any money on the sale?
did you save any money on the sale,"yes, i did. i saved about $50."
yes i did i saved about 50,that's great.
thats great,"yes, except this dent will cost about $150."
did you see titanic,yes. it is a great movie.
yes it is a great movie,i saw it twelve times.
i saw it twelve times,i saw it eight times.
i saw it eight times,i have the dvd.
i have the dvd,so do i.
so do i,let's go to your home.
lets go to your home,we can watch my dvd.
we can watch my dvd,and then we can go to my home.
and then we can go to my home,and watch your dvd.
and watch your dvd,i always cry at the end.
i always cry at the end,me too. it's so sad.
lets play cards,i don't know any card games.
i dont know any card games,i'll teach you one.
ill teach you one,okay. what will you teach me?
okay what will you teach me,it's called poker.
its called poker,is it easy to learn?
is it easy to learn,"yes, it will only take about 30 minutes."
yes it will only take about 30 minutes,okay. teach me how to play.
okay teach me how to play,we each get five cards.
we each get five cards,"oh, look. i have four tens."
oh look i have four tens,"that's great, but you're not supposed to tell me."
thats great but youre not supposed to tell me,"oh. sorry. okay, i don't have four tens."
im a good card player,why is that?
why is that,because i watch the other players.
because i watch the other players,what do you mean?
what do you mean,people will tell you if they have a good hand.
people will tell you if they have a good hand,how do they do that?
how do they do that,"for example, a friend of mine licks his lips."
for example a friend of mine licks his lips,"when he licks his lips, you know he has a good hand?"
when he licks his lips you know he has a good hand,"i know he has a good hand, so i don't bet."
i know he has a good hand so i dont bet,he never wins your money?
he never wins your money,"nope, and it drives him crazy."
nope and it drives him crazy,he knows you can't read his mind. maybe he thinks you're cheating.
turn the radio down please,but i'm listening to it.
but im listening to it,"well, listen to it more quietly."
well listen to it more quietly,i can't wait till i grow up.
i cant wait till i grow up,what will you do?
what will you do,i will play the radio as loud as i want.
i will play the radio as loud as i want,that's okay with me.
thats okay with me,i will have a radio in every room of my house.
i will have a radio in every room of my house,remind me to never visit you.
remind me to never visit you,all the radios will be on extra loud.
all the radios will be on extra loud,your neighbors will hate you.
your neighbors will hate you,"if they don't like it, they can move."
i hope i win the lotto,your chances are very small.
your chances are very small,but you can't win if you don't play.
but you cant win if you dont play,ha! you can't win if you do play.
ha you cant win if you do play,someone has to win.
someone has to win,that's what everyone says.
thats what everyone says,it might as well be me.
it might as well be me,that's what everyone says.
thats what everyone says,you're trying to tell me something.
youre trying to tell me something,that didn't take long.
that didnt take long,you think i should quit playing.
you think i should quit playing,save your money for school.
whats on tv,nothing much.
nothing much,what about the baseball game?
what about the baseball game,it got rained out.
it got rained out,rained out?
rained out,"yes, rained out."
yes rained out,how could that be?
how could that be,"well, you can't play baseball in a rainstorm."
well you cant play baseball in a rainstorm,i thought they were playing under a dome.
i thought they were playing under a dome,the dome doesn't close.
the dome doesnt close,why doesn't it close?
why doesnt it close,who knows? they said they'll fix it before next season.
can i try your coffee,sure. here you go.
sure here you go,"hmm, that's not bad."
hmm thats not bad,there's nothing in it.
theres nothing in it,what do you mean?
what do you mean,"i mean, it's just coffee."
i mean its just coffee,i figured that.
i figured that,it's not too bitter for you?
its not too bitter for you,"it's a little bitter, but it's okay."
its a little bitter but its okay,there's no sugar or cream in it.
theres no sugar or cream in it,"no, it's a taste you have to get used to."
no its a taste you have to get used to,sort of like beer.
lets take a walk,what's the weather like?
whats the weather like,let me step outside and see.
let me step outside and see,"it's a little chilly, right?"
its a little chilly right,"yes, it is."
yes it is,i'll put on my cap.
ill put on my cap,"wear a jacket, too."
wear a jacket too,i wonder if i should bring my gloves.
i wonder if i should bring my gloves,"maybe you should, just in case it gets colder."
maybe you should just in case it gets colder,i'll put a glove in each pocket.
ill put a glove in each pocket,we'll get warmer as we walk.
well get warmer as we walk,"yes, but it gets colder as the sun goes down."
look at the car chase on tv,that driver is crazy.
that driver is crazy,i can't believe he hasn't crashed.
i cant believe he hasnt crashed,how fast is he going?
how fast is he going,they say he's going 80 miles per hour.
they say hes going 80 miles per hour,he's going to kill someone.
hes going to kill someone,look! he just hit that car.
look he just hit that car,"oh, my goodness. no one is safe on the streets."
oh my goodness no one is safe on the streets,now he's slowing down.
now hes slowing down,maybe he ran out of gas.
maybe he ran out of gas,look! he just got out of the car and started running.
look he just got out of the car and started running,i hope the police catch him.
tv news is so stupid,they shouldn't even call it news.
they shouldnt even call it news,last night they told us about a cat in a sofa.
last night they told us about a cat in a sofa,yesterday they told us about a dog in a pipe.
yesterday they told us about a dog in a pipe,last week they told us about a bear in a back yard.
last week they told us about a bear in a back yard,last month they told us about a mouse in a restaurant.
last month they told us about a mouse in a restaurant,the weatherman tells us the temperature in every town.
the weatherman tells us the temperature in every town,the sports guy shows us players fighting.
the sports guy shows us players fighting,"they always tell us ""what's next."""
they always tell us whats next,"they always make ""what's next"" sound exciting, but it never is."
they always make whats next sound exciting but it never is,it's more like news for kids.
its more like news for kids,they should have kid reporters.
i love my computer,computers are so cool.
computers are so cool,i love to go online.
i love to go online,the internet is amazing.
the internet is amazing,you can travel all over the world.
you can travel all over the world,i know. i went to china yesterday.
i know i went to china yesterday,what did you do?
what did you do,i stood on the great wall and looked all around.
i stood on the great wall and looked all around,what was it like?
what was it like,it was like the real thing.
it was like the real thing,it was like being there?
it was like being there,"yes, i felt like i was actually there."
the beatles are the best,they are the best musical group ever.
they are the best musical group ever,i love all their songs.
i love all their songs,i don't know which one i like the best.
i dont know which one i like the best,i like the ones i can sing along with.
i like the ones i can sing along with,"so do i, like ""she loves you."""
so do i like she loves you,"""she loves you, yeah, yeah, yeah!..."""
she loves you yeah yeah yeah,"""â…and you know you should be glad!"""
ã‚â€¦and you know you should be glad,what a great song.
what a great song,"how about ""let it be?"""
how about let it be,"oh, yes! ""let it be, let it beâ…"""
oh yes let it be let it beã‚â€¦,"""â…there will be an answer, let it be!"""
lets go to a movie,i'd rather not.
id rather not,why not?
why not,you know i don't like crowds.
